index,Наименование параметра,3Б724
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольшие размеры обрабатываемых на столе изделий (длина х ширина х высота), мм",2000 х 400 х 500
3,"Наибольшие размеры изделий, обрабатываемых на электромагнитной плите (длина х ширина х высота), мм",
4,"Наибольшая масса изделий, обрабатываемых на электромагнитной плите, кг",2000
5,"Наибольшая масса обрабатываемых на столе изделий, кг",
6,"Расстояние от оси шпинделя до зеркала стола, мм",220..755
7,Рабочий стол станка,
8,"Размеры рабочей поверхности стола (длина х ширина), мм",2000 х 400
9,"Размеры поверхности электромагнитной плиты (длина х ширина), мм",1910 х 400
10,"Продольное перемещение стола от гидравлики (наименьшее/наибольшее, мм",300..2050
11,"Скорость возвратно-поступательного движения стола, м/мин",3...30
12,Шлифовальная бабка (шпиндельная бабка),
13,Шлифовальный круг по ГОСТ 2424-75,ПП500(300) х 100 х 305
14,Число оборотов шлифовального круга в минуту,1460
15,"Наибольший допустимый крутящий момент на шпинделе, кгс*м",1720
16,"Конец шпинделя шлифовальной бабки по ГОСТ 2323-67 (наибольший диаметр), мм",
17,"Наибольшее поперечное перемещение шлифовальной бабки (ручное и от гидравлики), мм",520
18,"Цена деления лимба поперечного перемещения шлифовальной бабки, мм",005
19,"Поперечное перемещение шлифовальной бабки на один оборот лимба, мм",25
20,"Пределы скоростей поперечной подачи шлифовальной бабки (бесступенчатое регулирование), м/мин",015..25
21,"Автоматическая поперечная подача на каждый ход стола (бесступенчатое регулирование), мм",075..75
22,"Наибольшее вертикальное перемещение шлифовальной бабки, мм",535
23,"Цена деления лимба вертикального перемещения шлифовальной бабки, мм",0005
24,"Вертикальное перемещение шлифовальной бабки на один оборот лимба, мм",05
25,"Автоматические вертикальные подачи шлифовальной бабки, мм",0005..01
26,"Скорость вертикального ускоренного перемещения, м/мин",0406
27,Привод и электрооборудование станка,
28,род тока питающей сети,"50Гц, 380 В"
29,Количество электродвигателей на станке,7
30,"Электродвигатель шпинделя шлифовальной бабки, кВт",22
31,"Электродвигатель вертикального ускоренного перемещения шлифовальной бабки, кВт",22
32,"Электродвигатель регулирования скорости стола, кВт",
33,"Электродвигатель насоса системы управления, кВт",11
34,"Электродвигатель насоса гидросистемы (гидропривода), кВт",3 + 4
35,"Электродвигатель насоса системы смазки, кВт",
36,"Электродвигатель насоса системы охлаждения, кВт",06
37,"Электродвигатель магнитного сепаратора, кВт",012
38,"Электродвигатель воздушного теплообменника, кВт",
39,"Общая установленная мощность всех электродвигателей, кВт",3302
40,Габариты и масса станка,
41,"Габарит станка, мм",5660 х 2580 х 2750
42,"Масса станка, кг",19890
