index,Наименование параметра,CU-325
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр заготовки устанавливаемой над станиной, мм",325
3,"Высота оси центров над плоскими направляющими станины, мм",165
4,"Наибольший диаметр заготовки обрабатываемой над суппортом, мм",190
5,"Наибольшая длина заготовки, устанавливаемой в центрах (РМЦ), мм","500, 7501000"
6,"Ширина направляющих, мм",200
7,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",
8,"Наибольший диаметр сверла при сверлении стальных деталей, мм",
9,"Наибольшая масса заготовки, обрабатываемой в центрах, кг",
10,"Наибольшая масса заготовки, обрабатываемой в патроне, кг",
11,Шпиндель,
12,"Диаметр отверстия в шпинделе, мм",32
13,"Наибольший диаметр прутка, проходящий через отверстие в шпинделе, мм",30
14,"Частота вращения шпинделя в прямом направлении / двухскоростной двигатель, об/мин, (число ступеней)","85..2000(12)/42,5..2000(24)"
15,Конец шпинделя по ГОСТ 12593-72,
16,Конец шпинделя по ISO702-II/USAS B5.9D1 ISO702-III/DIN 55027,5
17,Коническое отверстие шпинделя по ГОСТ 2847-67,"Морзе 4,5"
18,"Диаметр фланца шпинделя, мм",
19,"Диаметр стандартного патрона, мм",160
20,"Наибольший крутящий момент на шпинделе, Нм",10
21,Суппорт. Подачи,
22,"Наибольшая длина продольного перемещения, мм",
23,"Наибольшая длина поперечного перемещения суппорта, мм",145
24,"Скорость быстрых продольных перемещений, мм/мин",-
25,"Скорость быстрых поперечных перемещений, мм/мин",-
26,"Максимально допустимая скорость перемещений при работе по упорам, мм/мин",
27,"Минимально допустимая скорость перемещения каретки (суппорта), мм/мин",
28,"Цена деления лимба продольного перемещения, мм",
29,"Цена деления лимба поперечного перемещения, мм",
30,"Диапазон продольных подач, мм/об(число подач)","0,006..1,77(48)"
31,"Диапазон поперечных подач, мм/об (число подач)","0,003..0,885(24)"
32,"Пределы шагов метрических резьб, мм (число резьб)","0,1..28(48)"
33,"Пределы шагов дюймовых резьб, ниток/дюйм (число резьб)","75..2,5(53)"
34,"Пределы шагов модульных резьб, модуль (число резьб)","0,1..1,75(19)"
35,"Пределы шагов питчевых резьб, питч диаметральный (число резьб)",70..4(19)
36,"Наибольшее усилие, допускаемое механизмом подач на резце - продольное, Н",100
37,"Наибольшее усилие, допускаемое механизмом подач на резце - поперечное, Н",50
38,Резцовые салазки,
39,"Наибольшее перемещение резцовых салазок, мм",100
40,"Перемещение резцовых салазок на одно деление лимба, мм",
41,"Наибольший угол поворота резцовых салазок, град",±90°
42,"Цена деления шкалы поворота резцовых салазок, град",1°
43,"Наибольшее сечение державки резца, мм",20 х 20
44,"Высота от опорной поверхности резца до оси центров (высота резца), мм",20
45,Число резцов в резцовой головке,4
46,Задняя бабка,
47,"Диаметр пиноли задней бабки, мм",40
48,Конус отверстия в пиноли задней бабки по ГОСТ 2847-67,Морзе 3
49,"Наибольшее перемещение пиноли, мм",100
50,"Перемещение пиноли на одно деление лимба, мм",
51,"Величина поперечного смещения корпуса бабки, мм",±10
52,Электрооборудование,
53,"Электродвигатель главного привода односкоростной (двухскоростной), кВт (об/мин)","2,2 (1420)(1,2/2,2 (710/1420))"
54,"Электродвигатель привода быстрых перемещений, кВт",-
55,"Электродвигатель насоса СОЖ, кВт (об/мин)","0,09 (2780)"
56,Габариты и масса станка,
57,"Габариты станка (длина ширина высота) РМЦ=1000, мм",2150 х 820 х 1300
58,"Масса станка, кг",700
