index,Наименование параметра,1283
0,Основные параметры станка,
1,Класс точности станка по ГОСТ 8—71,Н
2,"Наибольший диаметр обрабатываемого изделия, мм",400
3,"Расстояние от основания станка до верхнего торца шпинделя, мм",1127
4,Количество шпинделей,8
5,Количество суппортов,7
6,Шпиндель,
7,Количество рабочих скоростей шпинделя - низкий ряд,28
8,Количество рабочих скоростей шпинделя - высокий ряд,25
9,Количество рабочих скоростей шпинделя - суммарное,50
10,"Частота вращения шпинделя - силовое исполнение (низкий + высокий ряд), об/мин",28..410
11,"Частота вращения шпинделя - скоростное исполнение (низкий + высокий ряд), об/мин",43..635
12,Зажим изделия,Гидравлич
13,"Осевое усилие зажима на штоке, кН",33
14,"Ход штока, мм",40
15,"Наибольший крутящий момент на шпинделе не менее, Нм (кг*м)",1300
16,Подачи,
17,"Наибольшее перемещение (ход) суппорта, мм",350
18,"Наибольшее поперечное перемещение (поперечный ход) суппорта, мм",
19,Количество мелких подач суппорта,38
20,Количество крупных подач суппорта,30
21,Суммарное количество подач суппорта,68
22,"Диапазон скоростей подач суппорта - силовое исполнение, мм/об",0094..385
23,"Диапазон скоростей подач суппорта - скоростное исполнение, мм/об",0064..40
24,"Скорость быстрого перемещения суппорта, м/мин",35
25,"Наибольшее тяговое усилие суппорта, кН",15
26,Электрооборудование станка,
27,"Количество электродвигателей на станке, кВт",4
28,"Электродвигатель главного привода, кВт","22, 30, 40, 55"
29,"Электродвигатель гидропривода, кВт",4
30,"Электродвигатель поворота стола, кВт",22
31,"Электродвигатель насоса охлаждения, кВт",06
32,Габариты и масса станка,
33,"Габаритные размеры станка (длина, ширина, высота), мм",3252 х 3065 х 3942
34,"Масса станка, кг",19900
