index,Наименование параметра,1553
0,Основные параметры станка,
1,"Наибольший диаметр изделия, обрабатываемого вертикальным суппортам, мм",2300
2,"Наибольшая высота обрабатываемого изделия, мм",1600
3,"Диаметр планшайбы, мм",2100
4,"Наибольшая масса устанавливаемого изделия, кг",
5,Вертикальные суппорты,
6,Количество вертикальных суппортов,2
7,"Наибольшее горизонтальное перемещение правого суппорта, мм",1315
8,"Наибольшее горизонтальное перемещение левого суппорта, мм",1215
9,"Наибольшее вертикальное перемещение правого суппорта, мм",1315
10,"Наибольшее вертикальное перемещение левого суппорта перемещение, мм",1215
11,"Цена деления лимба горизонтального и вертикального перемещения, мм",005
12,"Горизонтальное и вертикальное перемещение за один оборот лимба, мм",25
13,"Наибольший угол поворота ползуна суппорта, град",30
14,"Цена деления лимба попорота ползуна суппорта, мин",1
15,"Цена деления шкалы поворота ползуна суппорта, град",1
16,"Наибольшие размеры сечения державки резца (ширина х высота), мм",40 х 63
17,"Скорость установочных перемещений, мм/мин",
18,Боковой суппорт,
19,"Наибольшее вертикальное перемещение бокового суппрта, мм",1215
20,"Наибольшее горизонтальное перемещение бокового суппрта, мм",600
21,Поперечина,
22,"Наибольшее перемещение, мм",
23,"Скорость перемещения, мм/мин",
24,Выключающие упоры,
25,Блокировка перемещения в процессе резания,
26,Механика станка,
27,Число скоростей планшайбы,18
28,"Число оборотов планшайбы в минуту при прямом и обратном вращении, об/мин",14..48
29,Число подач суппортов,12
30,"Вертикальные и горизонтальные подачи суппортов, мм/об",02..9
31,"Наибольшее допускаемое усилие резания двумя суппортами, кгс",
32,"Скорость установочных перемещений суппортов, мм/мин",
33,Электрооборудование и привод станка,
34,Род тока питающей электросети,"~380 В, 50 Гц"
35,Количество трехфазных электродвигателей установленных на станке,
36,Количество однофазных электродвигателей установленных на станке,
37,"Электродвигатель привода главного движения 1М1, кВт",40
38,"Электродвигатель смазки (входит в комплект насоса) 1М2, кВт",
39,"Электродвигатель перемещения поперечины 1М3, кВт",
40,"Электродвигатель зажима поперечины 1М4, кВт",
41,"Электродвигатель установочных перемещений правого 2М1 и левого 3М1 суппортов, кВт",
42,"Электродвигатель привода системы смазки поперечины 1М5, Вт",
43,"Электродвигатель привода системы смазки правого суппорта 2М2 и 2М3, Вт",
44,"Электродвигатель привода системы смазки левого суппорта 3М2 и 3М3, Вт",
45,Габарит и масса станка,
46,"Габарит станка (длнна х ширина х высота), мм",
47,"Масса станка, кг",
