index,Наименование параметра,3Б634
0,Шлифовальный круг,
1,Количество шлифовальных кругов,2
2,Тип шлифовальных кругов,ПП 400х50х203 ПВ 400х50х203
3,"Наружный диаметр круга, мм",400
4,"Высота круга, мм",50
5,"Посадочный диаметр круга, мм",203
6,"Диаметр изношенного круга, мм",
7,Класс неуравновешенности,
8,"Высота центров от основания, мм",900
9,"Рекомендуемая высота затачиваемых резцов, мм",6-100
10,"Диаметр затачиваемых сверл, мм",6-60
11,"Угол при вершине сверла, град",70-140
12,"Задний угол, град",до 20
13,"Угол поворота, град",+20..-1
14,"Диаметр контактного ролика, мм",400
15,"Ширина шлифовальной ленты, мм",80
16,"Длина шлифовальной ленты, мм",3000
17,"Усилие натяжения шлифовальной ленты, Н",до 1000
18,"Наибольший диаметр полировального круга, мм",400
19,"Наибольшая высота полировального круга, мм",55
20,"Диаметр отверстия полировального круга, мм",50
21,Шпидель,
22,"Частота вращения, 1/мин",720/ 1440
23,"Максимальная скорость резания, м/с",15/ 30
24,"Конец шлифовального шпинделя (диаметр/длина), мм",40/ 40
25,Электрооборудование,
26,"Электродвигатель привода, кВт","3,2/ 5,3"
27,Габариты и масса станка,
28,"Габариты станка (длина ширина высота), мм",1000 х 665 х 1230
29,"Масса станка, кг",425
