index,Наименование параметра,3А184
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,В
2,"Наибольший диаметр обрабатываемой заготовки, мм",3..80
3,Наименьший диаметр рекомендуемый при врезном шлифовании,
4,"Наибольшая длина обрабатываемых изделий при сквозном шлифовании, мм",165
5,"Наибольшая длина обрабатываемых изделий при врезном шлифовании при ширине круга 150 мм, мм",145
6,"Наибольшая длина обрабатываемых изделий при врезном шлифовании при ширине круга 200 мм, мм",195
7,"Наибольшая длина обрабатываемых изделий в нормальном приспособлении, мм",
8,"Наибольшая длина прутка в специальном приспособлении, мм",
9,"Высота от основания станка до оси кругов, мм",1060
10,"Высота от зеркала мостика до оси кругов (высота центров), мм",260
11,Шлифовальный круг,
12,Тип шлифовального круга по ГОСТ 2424-83,ПП
13,"Наружный диаметр наименьший/ наибольший, мм",400..500
14,"Высота (ширина) круга наименьшая/ наибольшая, мм",150..200
15,"Диаметр отверстия, мм",
16,Ведущий круг,
17,Тип шлифовального круга по ГОСТ 2424-83,ПП
18,"Наружный диаметр наименьший/ наибольший, мм",260..300
19,"Наибольшая высота (ширина) наименьшая/ наибольшая, мм",150..200
20,"Диаметр отверстия, мм",
21,Бабка шлифовального круга,
22,"Размер конца шпинделя шлифовального круга по ГОСТ 2323—67, мм",
23,"Наибольшее установочное перемещение при снятых кругах (ход бабки), мм",100
24,Число оборотов в минуту,"1337, 1910"
25,"наименьшая и наибольшая окружная скорость (скорость шлифования), м/сек",35..50
26,"Наибольшее ускоренное перемещение при врезном шлифовании, мм",
27,"Рабочее перемещение на одно деление лимба механизма подачи, мм",00025
28,"Рабочее перемещение на один оборот лимба механизма подачи, мм",03
29,"Рабочее перемещение толчковой подачи, мм",
30,"Наибольшее рабочее перемещение механизмом врезания, мм",
31,"Скорость подачи при врезном шлифовании, мм/мин",
32,Бабка ведущего круга,
33,"Перемещение наибольшее при снятых кругах, мм",55
34,"Перемещение на одно деление лимба винта подачи, мм",
35,"Перемещение на один оборот лимба винта подачи, мм",
36,"Наибольший угол наклона в вертикальной плоскости, град",-4 +6°
37,"Наибольший угол наклона в горизонтальной плоскости, мин",
38,"Число оборотов в минуту при работе (бесступенчатое регулирование), об/мин",10..130
39,Число оборотов в минуту при правке,300
40,Механизм правки шлифовального круга,
41,"Наибольшее поперечное перемещение алмаза, мм",
42,"Поперечное перемещение алмаза на одно деление лимба, мм",
43,"Поперечное перемещение алмаза на один оборот лимба, мм",
44,"Скорость перемещения алмаза в продольном направлении наибольшая, мм/мин",
45,"Наибольший угол разворота копира, град",
46,"Привод, габарит и масса станка",
47,Род тока питающей сети,"Переменный трехфазный, 380 В, частота тока 50 Гц"
48,"Напряжение электроприводов, в",380
49,"Напряжение цепей управления, в",110
50,"Напряжение цепей местного освещения, В",
51,"Напряжение сигнализации, В",
52,"Напряжение постоянного тока, В",
53,Количество электродвигателей на станке,
54,"Электродвигатель привода шлифовального круга, кВт (об/мин)","13,10 (1460)"
55,Электродвигатель привода ведущего круга - тип,
56,"Электродвигатель привода ведущего круга, кВт (об/мин)","0,85 (83..1080)"
57,Электродвигатель привода электромашинного усилителя - тип,
58,"Электродвигатель привода электромашинного усилителя, кВт (об/мин)","1,2 (2500)"
59,"Электродвигатель привода гидронасоса, кВт (об/мин)","1,1 (1400)"
60,"Электродвигатель насоса смазки подшипников шпинделя шлифовального круга, кВт (об/мин)","0,27 (1400)"
61,"Электродвигатель насоса смазки подшипников шпинделя ведущего круга, кВт (об/мин)",
62,"Электродвигатель привода насоса охлаждения, кВт (об/мин)","0,18 (2800)"
63,"Электродвигатель привода магнитного сепаратора, кВт (об/мин)","0,12 (1400)"
64,"Электродвигатель привода правки шлифовального круга, кВт (об/мин)",
65,"Электродвигатель привода правки ведущего круга, кВт (об/мин)",
66,"Электродвигатель привода ускоренного перемещения шлифовальной бабки, кВт (об/мин)",
67,"Суммарная мощность электродвигателей, кВт",
68,Габаритные размеры и масса станка,
69,"Габарит станка (длина X ширина X высота), мм",3510 х 2200 х 1910
70,"Масса станка с приставным оборудованием, кг",5670
