index,Наименование параметра,2Н57
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Наибольший условный диаметр сверления в стали 45, мм",75
3,"Расстояние от оси шпинделя до направляющей колонны (вылет шпинделя), мм",2000
4,"Наибольшее горизонтальное перемещение сверлильной головки по рукаву, мм",1800
5,"Наименьшее и наибольшее расстояние от торца шпинделя до плиты, мм",1750
6,"Наибольшее вертикальное перемещение рукава по колонне (установочное), мм",900
7,"Скорость вертикального перемещения рукава по колонне, м/мин",
8,"Наибольшее осевое перемещение пиноли шпинделя (ход шпинделя), мм",450
9,"Угол поворота рукава вокруг колонны, град",360°
10,"Размер поверхности плиты (ширина длина), мм",1630 х 2020
11,Шпиндель,
12,Обозначение конца шпинделя по ГОСТ 24644-81,Морзе 6
13,"Частота прямого вращения шпинделя, об/мин (Количество скоростей шпинделя)","12,5..1600 (22)"
14,"Пределы рабочих подач на один оборот шпинделя, мм/об (Число подач шпинделя)","0,063..3,15 (18)"
15,"Перемещение шпинделя на одно деление лимба, мм",
16,"Перемещение шпинделя на оборот лимба, мм",
17,"Наибольший допустимый крутящий момент, кгс*см",
18,"Наибольшее усилие подачи, кН",
19,Зажим вращения колонны,
20,Зажим рукава на колонне,
21,Зажим сверлильной головки на рукаве,
22,Электрооборудование. Привод,
23,Количество электродвигателей на станке,
24,"Электродвигатель привода главного движения, кВт",7
25,"Электродвигатель привода перемещения рукава, кВт",
26,"Электродвигатель привода гидрозажима колонны, кВт",
27,"Электродвигатель привода гидрозажима сверлильной головки, кВт",
28,"Электродвигатель насоса охлаждающей жидкости, кВт",
29,"Суммарная мощность установленных электродвигателей, кВт",
30,Габариты и масса станка,
31,"Габариты станка (длина ширина высота), мм",3620 х 1550 х 3875
32,"Масса станка, кг",6500
