index,Наименование параметра,2636
0,Основные параметры станка,
1,"Диаметр выдвижного расточного шпинделя, мм",125
2,"Точность установки координат, мм",001
3,"Точность установки поворотного стола, сек",
4,Стол,
5,"Рабочая поверхность стола, мм",1600 х 1800
6,"Наибольшая масса обрабатываемого изделия, кг",8000
7,"Наибольшее перемещение стола поперечное (по оси X), мм",1600
8,"Наибольшее перемещение стола продольное (по оси W), мм",1600
9,"Угол поворота стола (по оси B), град",360
10,"Пределы рабочих подач по осям X,Y,Z,W, мм/мин",1..1000
11,"Наибольшее усилие подачи стола (вдоль и поперек), кгс",20
12,"Скорость быстрых перемещений по осям X, Y, W, м/мин",5
13,"Скорость быстрых перемещений шпинделя по оси Z, м/мин",4
14,Шпиндельная бабка. Выдвижной шпиндель,
15,"Наибольшее вертикальное перемещение шпиндельной бабки (установочное) (по оси Y), мм",1400
16,"Наибольшее горизонтальное (осевое) перемещение шпинделя (по оси Z), мм",1000
17,"Частота вращения шпинделя, об/мин",63..1000
18,Количество скоростей шпинделя,(Б/с)
19,"Пределы рабочих подач выдвижного шпинделя, мм/мин","1,6..1600 (Б/с)"
20,"Пределы рабочих подач шпиндельной бабки, мм/мин",2..1000 (Б/с)
21,"Скорость быстрых перемещений шпиндельной бабки, м/мин",5
22,"Скорость быстрых перемещений шпинделя, м/мин",4
23,"Наибольший крутящий момент на шпинделе, кН*м",41
24,"Наибольшее усилие подачи шпинделя, кН",20
25,"Наибольшее усиление подачи бабки, кН",20
26,"Нарезаемая метрическая резьба, мм",
27,"Нарезаемая дюймовая резьба, число ниток на 1""",
28,"Наибольшее тангенциальное усилие резания, кН",20
29,"Наибольшее тангенциальное усилие резания при растачивании без радиальной подачи, кН",-
30,ПланШайба. Суппорт,
31,"Радиальное перемещение суппорта, мм",200
32,"Скорость вращения планшайбы, об/мин",4..200
33,Количество скоростей планшайбы,2
34,"Пределы рабочих подач радиального суппорта, мм/мин",063..630
35,"Скорость быстрых перемещений радиального суппорта, м/мин",
36,"Наибольший крутящий момент на планшайбе, кН*м",65
37,"Наибольшее усилие подачи радиального суппорта, кН",7
38,Привод,
39,Количество электродвигателей на станке,9
40,"Электродвигатель привода главного движения Мощность, кВт (об/мин)",19 (750)
41,"Электродвигатель привода подачи шпиндельной бабки, кВт","2,8 (1500)"
42,"Электродвигатель привода поперечной подачи и поворота стола, кВт","2,8 (1500)"
43,"Электродвигатель привода продольной подачи стола, кВт","2,8 (1500)"
44,"Электродвигатель привода продольной подачи шпинделя, кВт","1,6 (1500)"
45,"Электродвигатель привода подачи радиального суппорта, кВт","0,85 (675)"
46,"Электродвигатель привода подачи задней стойки (люнета), кВт","0,55 (1500)"
47,"Электродвигатель привода насоса гидростанции смазки, кВт","2,2 (950)"
48,"Электродвигатель привода насоса смазки верхних и нижних саней и шпиндельной бабки, кВт","0,12 (1400) 3 шт."
49,"Электродвигатель привода перемещения перемещения пульта, кВт","0,37 (1500) 2 шт."
50,"Электродвигатель вентилятора охлаждения электродвигателя главного привода, кВт","0,6 (2800)"
51,Система цифровой индикации и предварительного набора координат для станка 2636Ф1,
52,Тип системы УЦИ,Размер-2М исп. 1104
53,Количество программируемых координат,4
54,Количество одновременно отображаемых координат,4
55,Количество одновременно обрабатываемых координат,2
56,Дискретность задания координат,001
57,Датчик обратной связи,"Сельсиновый, многоотсчетный"
58,"Суммарная мощность электродвигателей, кВт",
59,Габариты и масса станка,
60,"Габариты станка, включая ход стола и салазок, мм",8160 х 5070 х 4805
61,"Масса станка, кг",35700
