index,Наименование параметра,2Г175
0,Основные параметры станка,
1,"Наибольший диаметр сверления в стали 45, мм",75
2,"Наименьшее и наибольшее расстояние от торца шпинделя до стола, мм",150..850
3,"Наименьшее и наибольшее расстояние от торца шпинделя до плиты, мм",650..1350
4,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",400
5,Рабочий стол,
6,"Максимальная нагрузка на стол (по центру), кг",450
7,"Размеры рабочей поверхности стола, мм",560 х 630
8,Шпиндель,
9,"Наибольшее перемещение (установочное) шпиндельной головки, мм",700
10,"Наибольшее перемещение (ход) шпинделя, мм",
11,"Перемещение шпинделя на одно деление лимба, мм",
12,"Перемещение шпинделя на один оборот маховичка-рукоятки, мм",
13,"Частота вращения шпинделя, об/мин",18..800
14,Количество скоростей шпинделя,12
15,"Наибольший допустимый крутящий момент, Нм",
16,Конус шпинделя,Морзе 6
17,Механика станка,
18,Число ступеней рабочих подач,33
19,"Пределы вертикальных рабочих подач на один оборот шпинделя, мм",018..45
20,"Наибольшая допустимая сила подачи, кН",
21,Динамическое торможение шпинделя,Есть
22,Привод,
23,"Электродвигатель привода главного движения, кВт",11
24,Электронасос охлаждающей жидкости Тип,012
25,Габарит станка,
26,"Габариты станка, мм",2325 х 1890 х 3530
27,"Масса станка, кг",4250
