index,Наименование параметра,МС-03
0,Основные параметры станка,
1,Класс точности,Н
2,"Наибольший диаметр заготовки над станиной, мм",270
3,"Наибольший диаметр заготовки над суппортом, мм",120
4,"Высота центров над плоскими направляющими станины, мм",130
5,"Наибольшая длина заготовки в центрах (РМЦ), мм",500
6,"Наибольшая длина заготовки в патроне, мм",
7,"Наибольшая длина обтачивания, мм",500
8,"Наибольшая высота держателя резца, мм",20
9,"Высота от опорной поверхности резца до линии центров, мм",
10,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",
11,Шпиндель,
12,"Резьбовой конец шпинделя, мм",М52
13,"Диаметр стандартного патрона, мм",
14,"Диаметр сквозного отверстия в шпинделе, мм",25
15,"Наибольший диаметр прутка, мм",23
16,Конус Морзе шпинделя,№4
17,Число ступеней частот прямого вращения шпинделя,13
18,"Частота прямого вращения шпинделя, об/мин",45..2800
19,Торможение шпинделя,есть
20,Блокировка рукояток,
21,Суппорт. Подачи,
22,"Наибольшее продольное перемещение суппорта, мм",500
23,"Перемещение суппорта продольное на одно деление лимба, мм",
24,"Наибольшее поперечное перемещение суппорта, мм",190
25,"Перемещение суппорта поперечное на одно деление лимба, мм",
26,"Наибольшее перемещение резцовых салазок, мм",160
27,"Перемещение резцовых салазок на одно деление лимба, мм",
28,"Угол поворота резцовых салазок, град",
29,Число ступеней продольных подач суппорта,30
30,"Пределы продольных рабочих подач суппорта, мм/об",0018..07
31,"Пределы рабочих поперечных подач суппорта, мм/об",0005..02
32,Количество нарезаемых резьб метрических,
33,"Пределы шагов нарезаемых резьб метрических, мм",0125..10
34,"Пределы шагов нарезаемых резьб дюймовых, ниток на дюйм",24..4
35,"Пределы шагов нарезаемых резьб модульных, мм",025..25
36,Пределы шагов нарезаемых резьб питчевых,нет
37,Задняя бабка,
38,Конус Морзе задней бабки,№3
39,"Наибольшее перемещение пиноли, мм",80
40,Электрооборудование,
41,"Напряжение питающей сети, В",~380
42,"Электродвигатель главного привода, кВт (об/мин)","1,5 (1500)"
43,Габариты и масса станка,
44,"Габариты станка (длина ширина высота), мм",1500 х 680 х 580
45,"Масса станка, кг",210
