index,Наименование параметра,CDE6240A
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,
2,"Наибольший диаметр заготовки устанавливаемой над станиной, мм",400
3,"Наибольший диаметр заготовки устанавливаемой в выемке, мм",700
4,"Высота оси центров над плоскими направляющими станины, мм",
5,"Наибольший диаметр заготовки обрабатываемой над суппортом, мм",220
6,"Наибольшая длина заготовки, устанавливаемой в центрах (РМЦ), мм","750, 10001500, 2000"
7,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",
8,"Наибольший диаметр сверла при сверлении стальных деталей, мм",
9,"Наибольшая масса заготовки, обрабатываемой в центрах, кг",
10,"Наибольшая масса заготовки, обрабатываемой в патроне, кг",
11,Шпиндель,
12,"Диаметр отверстия в шпинделе, мм",52
13,"Наибольший диаметр прутка, проходящий через отверстие в шпинделе, мм",50
14,"Частота вращения шпинделя в прямом направлении, об/мин",11..1400
15,"Частота вращения шпинделя в обратном направлении, об/мин",
16,Количество прямых скоростей шпинделя,22
17,Количество обратных скоростей шпинделя,
18,Конец шпинделя (для 16к20 по ГОСТ 12593-72),C6
19,Коническое отверстие шпинделя по ГОСТ 2847-67,MT 6 (Морзе 6)
20,"Диаметр фланца шпинделя, мм",170
21,"Наибольший крутящий момент на шпинделе, Нм",1586
22,Коробка подач. Суппорт,
23,"Наибольшая длина продольного перемещения, мм","700, 9501450, 1950"
24,"Наибольшая длина поперечного перемещения, мм",348 (373)
25,Передаточное число шпинделя и коробки подач (стандартное),48:96
26,"Шаг винта поперечного перемещения, мм",5
27,"Скорость быстрых продольных перемещений, м/мин",40
28,"Скорость быстрых поперечных перемещений, мм/мин",115
29,"Максимально допустимая скорость перемещений при работе по упорам, мм/мин",
30,"Минимально допустимая скорость перемещения каретки (суппорта), мм/мин",
31,"Цена деления лимба продольного перемещения, мм",1
32,"Цена деления лимба поперечного перемещения, мм",005
33,"Диапазон продольных подач, мм/об",0035..2842
34,"Диапазон поперечных подач, мм/об",0009..0804
35,Количество подач продольных,63
36,Количество подач поперечных,63
37,Количество нарезаемых резьб - метрических,66
38,"Пределы шагов метрических резьб, мм",05..240
39,Количество нарезаемых резьб - дюймовых,49
40,"Пределы шагов дюймовых резьб, ниток/дюйм",80..025
41,Количество нарезаемых резьб - модульных,57
42,"Пределы шагов модульных резьб, модуль",025..120
43,Количество нарезаемых резьб - питчевых,50
44,"Пределы шагов питчевых резьб, питч диаметральный",160..7/16 DP
45,Количество нарезаемых резьб - цилиндрических,31
46,"Пределы шагов цилиндрических резьб,",5..1/16
47,"Наибольшее усилие, допускаемое механизмом подач на резце - продольное, Н",
48,"Наибольшее усилие, допускаемое механизмом подач на резце - поперечное, Н",
49,Резцовые салазки,
50,"Наибольшее перемещение резцовых салазок, мм",150
51,"Перемещение резцовых салазок на одно деление лимба, мм",005
52,"Наибольший угол поворота резцовых салазок, град",±45°
53,"Цена деления шкалы поворота резцовых салазок, град",1°
54,"Наибольшее сечение державки резца, мм",25 × 25
55,"Высота от опорной поверхности резца до оси центров (высота резца), мм",27
56,Число резцов в резцовой головке,4
57,Фартук,
58,"Диаметр продольного ходового винта, мм",40
59,"Шаг продольного ходового винта, мм",12
60,"Модуль зубчатой рейки, мм",25
61,Задняя бабка,
62,"Диаметр пиноли задней бабки, мм",75
63,Конус отверстия в пиноли задней бабки по ГОСТ 2847-67,Морзе 5
64,"Наибольшее перемещение пиноли, мм",150
65,"Перемещение пиноли на одно деление лимба, мм",01
66,"Величина поперечного смещения корпуса бабки, мм",±15
67,Электрооборудование,
68,"Электродвигатель главного привода, кВт (об/мин)","7,5 (1440)"
69,"Электродвигатель привода быстрых перемещений, кВт (об/мин)","0,275 (1500)"
70,"Электродвигатель насоса СОЖ, кВт",015
71,Габариты и масса станка,
72,"Габариты станка (длина ширина высота) РМЦ = 1000, мм",2650 × 1198 × 1362
73,"Масса станка, кг",2120
