index,Наименование параметра,5993
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,Н
2,"Производительность при нарезке коротких резьб, шт/ч",
3,"Диаметр нарезания резьбы метрической, мм",12..42
4,"Шаги нарезаемой метрической резьбы, мм",175..45
5,"Диаметр нарезания резьбы дюймовой, мм",
6,"Шаги нарезаемой трубной (дюймовой) резьбы, ниток на дюйм",19..11
7,"Наибольшая длина нарезаемой резьбы, мм",280
8,"Наибольший и наименьший установочный диаметр изделия, мм",12..56
9,"Диаметр внутреннего отверстия головки, мм",
10,"Диаметр сквозного отверстия в шпинделе, мм",
11,Количество скоростей шпинделя,6
12,"Пределы частоты вращения шпинделя, об/мин",075..416
13,Привод зажима детали,Электромех
14,Привод перемещения каретки,Гидро
15,"Длина перемещения каретки, мм",400
16,Электрооборудование и привод станка,
17,Количество электродвигателей на станке,4
18,"Электродвигатель привода шпинделя, кВт (об/мин)",30
19,"Электродвигатель гидропривода, кВт (об/мин)",22
20,"Электродвигатель насоса охлаждения, кВт (об/мин)",012
21,"Электродвигатель зажимного устройства, кВт",08
22,"Общая установленная мощность всех электродвигателей, кВт",
23,род тока питающей сети,"50Гц, 380/220 В"
24,Габариты и масса станка,
25,"Габарит станка, мм",1980 х 1095 х 1125
26,"Масса станка, кг",1550
