index,Наименование параметра,ТПК-125ПН2
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр устанавливаемой заготовки, мм",125
3,"Рекомендуемый диаметр обработки, мм",125
4,"Наибольший диаметр обработки при автоматической загрузке, мм",60
5,"Наименьший диаметр обработки при автоматической загрузке, мм",5
6,"Диаметр отверстия в шпинделе, мм",
7,"Наибольшая длина изделия устанавливаемого в патроне, мм",100
8,"Наибольшая длина изделия при автоматической загрузке, мм",50
9,"Наименьшая длина изделия при автоматической загрузке, мм",4
10,"Высота резца, устанавливаемого в резцедержателе, мм",12
11,Количество одновременно управляемых координат,2
12,"Допустимая масса заготовки из стали, кг",025
13,Шпиндель,
14,Количество рабочих скоростей шпинделя,б/с
15,"Пределы чисел оборотов шпинделя, об/мин",30..2000
16,Центр шпинделя передней бабки по ГОСТ 25557-82,Морзе 3ЛТ6
17,Конец шпинделя,
18,Подачи,
19,"Дискретность задания перемещения продольного (Z)/ поперечного (X), мм","0,002 / 0,001"
20,"Нестабильность автоматического останова продольного (Z)/ поперечного (X), мм","0,002 / 0,001"
21,"Точность позиционирования продольного (Z) и поперечного (X), мм","±0,01"
22,"Шероховатость поверхности при обработке изделий из стали, мкм",125
23,"Шероховатость поверхности при обработке изделий из цветных металлов, мкм",063
24,"Наибольшее перемещение суппорта: продольное (Z)/ поперечное (X), мм",180 / 110
25,"Диапазон скоростей продольных подач, мм/мин (мм/об)",6..180
26,"Диапазон скоростей поперечных подач, мм/мин (мм/об)",3..90
27,"Скорость быстрых продольных/ поперечных ходов, мм/мин",800 / 400
28,Количество позиций на поворотной резцедержке (число инструментов в револьверной головке),6
29,Электрооборудование и привод станка,
30,Питающая сеть станка,~380В 50Гц
31,"Напряжение цепи управления, В","=24, ~110"
32,"Напряжение цепи освещения, В",~24
33,Количество электродвигателей на станке,4
34,"Электродвигатель главного привода, кВт",2
35,Электродвигатель подач - шаговый,ШД-5Д1МУ3
36,"Электродвигатель насоса охлаждения, кВт",
37,"Электродвигатель инструментальной головки, кВт",0009
38,"Суммарная мощность электродвигателей, кВт",28
39,"Суммарная мощность станка, кВт",45
40,Габариты и масса станка,
41,"Габаритные размеры станка с ЧПУ (длина, ширина, высота), мм",1680 х 920 х 1520
42,"Масса станка с ЧПУ, кг",2100
