index,Наименование параметра,JET BD-8
0,Основные параметры станка,
1,"Наибольший диаметр заготовки над станиной, мм",210
2,"Наибольший диаметр заготовки над суппортом, мм",135
3,"Наибольшая длина заготовки в центрах (РМЦ), мм",450
4,"Рекомендуемая глубина точения за один проход, мм",
5,"Максимальная глубина точения за один проход, мм",
6,"Максимальный размер державки резца, мм",10 х 10
7,Шпиндель,
8,"Диаметр сквозного отверстия в шпинделе, мм",20
9,Конус Морзе шпинделя,Морзе 3
10,Число ступеней частот прямого вращения шпинделя,Б/с
11,"Частота прямого вращения шпинделя, об/мин",150..2000
12,"Диаметр токарного патрона, мм",
13,Суппорт. Подачи,
14,"Наибольшее продольное перемещение каретки суппорта, мм",
15,"Перемещение суппорта продольное на одно деление лимба, мм",0025
16,"Наибольшее поперечное перемещение суппорта, мм",100
17,"Перемещение суппорта поперечное на одно деление лимба, мм",0025
18,"Наибольшее перемещение верхних (резцовых) салазок (поворотного суппорта), мм",70
19,"Перемещение резцовых салазок на одно деление лимба, мм",0025
20,"Угол поворота резцовых салазок, град",±45°
21,Число ступеней продольных подач суппорта,Б/с
22,"Пределы продольных рабочих подач суппорта, мм/об",02
23,"Пределы поперечных рабочих подач суппорта, мм/об",007
24,Количество нарезаемых резьб метрических,17
25,"Пределы шагов нарезаемых резьб метрических, мм",025..3
26,Пределы шагов нарезаемых резьб дюймовых,8..24
27,Пределы шагов нарезаемых резьб модульных,нет
28,Пределы шагов нарезаемых резьб питчевых,нет
29,Задняя бабка,
30,Конус Морзе задней бабки,№2
31,"Наибольшее перемещение пиноли, мм",40
32,Электрооборудование,
33,"Номинальное напряжение питания, В",220 В 50 Гц
34,"Электродвигатель главного привода, кВт",055
35,Габариты и масса станка,
36,"Габариты станка (длина ширина высота), мм",1000 х 550 х 400
37,"Масса станка, кг",94
