index,Наименование параметра,7534
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Номинальное тяговое усилие, кН(тс)",250(25)
3,"Наибольшая длина хода рабочих салазок, мм",1600
4,"Наибольшая настроенная длина хода рабочих салазок, мм",1550
5,"Расстояние от станины до оси отверстия под планшайбу в опорной плите, мм",280
6,"Максимальный наружный диаметр обрабатываемой детали, мм",600
7,"Длина протяжки, мм",400..1715
8,"Размеры рабочей поверхности передней опорной плиты станка, мм",450 х 450
9,"Диаметр отверстия под планшайбу в опорной плите, мм",200Н7
10,"Диаметр отверстия в планшайбе, мм",160H7
11,"Диаметр планшайбы, мм",360
12,"Скорость рабочего хода, м/мин",1..13
13,Регулирование скорости рабочего хода,бесступенчатое
14,"Рекомендуемая скорость обратного хода, м/мин",20
15,"Рекомендуемая скорость подвода протяжки, м/мин",112
16,"Рекомендуемая скорость отвода протяжки, м/мин",188
17,Электрооборудование. Привод,
18,Количество электродвигателей на станке,3
19,"Электродвигатель привода главного движения (гидронасоса главного привода), кВт",37
20,"Электродвигатель привода насоса охлаждения, кВт",015
21,"Электродвигатель насоса теплообменника, кВт",012
22,"Суммарная мощность электродвигателей установленных на станке, кВт",
23,Габариты и масса станка,
24,"Габариты станка (длина ширина высота), мм",7205 х 2200 х 1810
25,"Масса станка, кг",6250
