index,Наименование параметра,Т-65
0,Основные параметры станка,
1,"Наибольший диаметр заготовки над станиной, мм",120
2,"Наибольший диаметр заготовки над суппортом, мм",30
3,"Высота центров над плоскими направляющими станины, мм",65
4,"Наибольшая длина заготовки в центрах (РМЦ), мм",200
5,"Наибольшая длина обтачивания без перестановки суппрта, мм",70
6,"Наибольшая высота держателя резца, мм",7 х 7
7,"Высота от опорной поверхности резца до линии центров, мм",6
8,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",50
9,Шпиндель,
10,"Диаметр сквозного отверстия в шпинделе, мм",10
11,Конус Морзе шпинделя,№ 1
12,Число ступеней частот прямого вращения шпинделя,3
13,"Частота прямого вращения шпинделя, об/мин","77, 66, 55"
14,Суппорт. Подачи,
15,"Наибольшее поперечное перемещение суппорта, мм",70
16,"Перемещение суппорта поперечное на одно деление лимба, мм",005
17,"Наибольшее перемещение резцовых салазок, мм",70
18,"Перемещение резцовых салазок на одно деление лимба, мм",005
19,"Угол поворота резцовых салазок, град",±90°
20,Задняя бабка,
21,Конус задней бабки,Морзе №1
22,"Наибольшее перемещение пиноли, мм",45
23,Электрооборудование,
24,"Электродвигатель главного привода, кВт","0,25 1400 об/мин"
25,Габариты и масса станка,
26,"Габариты станка (длина ширина высота), мм",675 х 300 х 250
27,"Масса станка, кг",19
