index,Наименование параметра,3Е692
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольшие размеры затачиваемых пил, мм",250..1430
3,Наибольшее количество зубьев затачиваемых пил,
4,"Величина углов зубьев пил, (передний/ задний), град","5/3, 10/5, 15/320/8, 20/12, 25/15"
5,Шлифовальная бабка,
6,Тип шлифовального круга ГОСТ 2424-83,
7,"Наибольший диаметр шлифовального круга, мм",300
8,"Высота шлифовального круга, мм",6..25
9,"Диаметр отверстия шлифовального круга (внутренний диаметр), мм",76
10,"Частота вращения шпинделя шлифовального круга, об/мин",
11,"Наибольшая окружная скорость шлифовального круга, м/с",30
12,Размеры конца шпинделя шлифовальной бабки - диаметр х длина,32 х 40
13,Конус конца шпинделя шлифовальной бабки,1:5
14,Частота двойных ходов шлифовальной головки для пил по ГОСТ 4047-82,20..130
15,Частота двойных ходов шлифовальной головки для пил по ГОСТ 18210-72,20..40
16,"Величина перемещения шлифовальной головки при заточке по ГОСТ 4047-82, мм",4..20
17,"Величина перемещения шлифовальной головки при заточке по ГОСТ 18210-72, мм",10..40
18,"Величина установочного перемещения шлифовальной головки, мм",70
19,"Величина автоматической подачи шлифовального круга, мм",0025
20,"Интервал между подачами, число заточенных зубьев",1..75
21,"Число оборотов пилы при выхаживании, оборот",1..3
22,"Наибольшее перемещение шлифовального круга на врезание за цикл, мм",5
23,Бабка изделия,
24,"Диаметр посадочного конца шпинделя бабки изделия, мм",32h6
25,"Установочное перемещение бабки изделия, мм",680
26,"Пределы разности высот двух соседних зубьев, мм",0..2
27,Электрооборудование и привод станка,
28,Количество электродвигателей на станке,6
29,"Электродвигатель привода шпинделя шлифовального круга, кВт (об/мин)","2,2 (2850)"
30,"Электродвигатель механизма правки, кВт (об/мин)","0,12 (1375)"
31,"Электродвигатель вспомогательных движений, кВт (об/мин)","2,2 (3150)"
32,"Электродвигатель насоса охлаждения, кВт (об/мин)","0,12 (2710)"
33,"Электродвигатель установочного перемещения пилы, кВт (об/мин)","0,37 (1400)"
34,"Электродвигатель магнитного сепаратора, кВт (об/мин)","0,12 (1375)"
35,"Суммарная мощность всех электродвигателей, кВт",513
36,род тока питающей сети,"50Гц, 380/220 В"
37,Габариты и масса станка,
38,"Габарит станка, мм",2450 х 960 х 1910
39,"Масса станка, кг",1860
