index,Наименование параметра,7Е35
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Длина хода ползуна, мм",20..520
3,"Наибольшее сечение резца, мм",20 х 32
4,"Наибольшее расстояние от опорной поверхности резца до станины (вылет), мм",670
5,"Высота ползуна над рабочей поверхностью стола, мм",90..400
6,"Наибольшая перестановка ползуна, мм",310
7,Стол,
8,"Размеры рабочей поверхности стола - верхней, мм",360 х 500
9,"Размеры рабочей поверхности стола - правой, мм",
10,"Размеры рабочей поверхности стола - левой, мм",
11,"Наибольшее перемещение стола - горизонтальное, мм",530
12,"Наибольшее перемещение стола - вертикальное, мм",310
13,Число горизонтальных подач стола,20
14,"Пределы горизонтальных подач стола, мм/дв.ход",02..40
15,"Быстрое, горизонтальное перемещение стола, м/мин",30
16,"Быстрое вертикальное перемещение стола, м/мин",06
17,"Цена деления лимба, мм",01
18,Ползун. Суппорт,
19,"Наибольшее вертикальное перемещение салазок суппорта (головки резца) от руки, мм",170
20,"Цена деления лимба, мм",005
21,"Наибольший угол поворота резцовой головки до входа в станину, град",±60
22,"Наибольший угол поворота доски резцедержателя, град",±15
23,"Наибольшее допустимое усилие резания, Н",18000
24,Число ступеней скоростей главного привода (перемещения ползуна),8
25,Числа двойных ходов ползуна в минуту,"13,2; 19; 26,5; 37,5; 53; 75; 106; 150"
26,Число подач суппорта,6
27,"Подачи суппорта, мм/дв.ход","0,16; 0,33; 0,50; 0,66; 0,83; 1,0"
28,Электрооборудование. Привод,
29,Количество электродвигателей на станке,1
30,"Электродвигатель привода стола, кВт",55
31,Габариты и масса станка,
32,"Габариты станка (длина ширина высота), мм",2350 х 1250 х 1550
33,"Масса станка, кг",2100
