index,Наименование параметра,1Д601
0,Основные параметры станка,
1,Класс точности,Н
2,"Наибольший диаметр заготовки над станиной, мм",125
3,"Наибольший диаметр заготовки над суппортом, мм",75
4,"Высота центров над плоскими направляющими станины, мм",
5,"Наибольшая длина заготовки в центрах (РМЦ), мм",180
6,"Наибольшая длина обрабатываемой заготовки без переустановки суппорта, мм",55
7,"Наибольшая высота резца, мм",
8,Шпиндель,
9,"Диаметр сквозного отверстия в шпинделе, мм",102
10,Конус Морзе шпинделя,Морзе 2
11,Число ступеней частот прямого вращения шпинделя,3
12,"Частота прямого вращения шпинделя, об/мин","700, 1400, 2800"
13,Суппорт. Подачи,
14,Продольное перемещение суппорта,Ручное
15,"Наибольшее поперечное перемещение суппорта, мм",
16,"Перемещение суппорта поперечное на одно деление лимба, мм",005
17,"Наибольшее перемещение верхних (резцовых) салазок, мм",
18,"Перемещение резцовых салазок на одно деление лимба, мм",005
19,"Угол поворота верхней каретки суппорта, град",
20,Задняя бабка,
21,Конус Морзе задней бабки,Морзе 1
22,"Наибольшее перемещение пиноли, мм",35
23,Электрооборудование,
24,"Электродвигатель главного привода, кВт (об/мин)","0,180 (1400)"
25,Габариты и масса станка,
26,"Габариты станка (длина ширина высота), мм",680 х 200 х 220
27,"Масса станка, кг",30
