index,Наименование параметра,3А423
0,Основные параметры,
1,Класс точности по ГОСТ 8-71,П
2,"Наибольший диаметр устанавливаемого изделия, мм",580
3,"Наибольшая длина устанавливаемого изделия в центрах, мм",1600
4,"Наибольшая длина устанавливаемого изделия в патронах, мм",1500
5,"Диаметр шлифования без люнета, мм",30..150
6,"Наибольший диаметр шлифования в люнете, мм",30..100
7,"Наибольшая длина шлифования, мм",1600
8,"Расстояние от оси шпинделя передней бабки до зеркала стола - высота центров, мм",300
9,"Наибольший радиус кривошипа, мм",110
10,"Наибольшая масса обрабатываемого изделия, кг",130
11,Станина и столы станка,
12,"Наибольшее продольное перемещение стола от руки/ от гидравлики, мм",1600/ 1600
13,"Скорость перемещения стола от гидросистемы, м/мин",02..70
14,"Ручное замедленное/ ускоренное перемещения стола за один оборот маховика, мм","5,3/ 14,2"
15,"Наименьший ход стола между упорами, мм",
16,"Наибольший угол поворота верхнего стола по часовой стрелке, град",2
17,"Наибольший угол поворота верхнего стола против часовой стрелки, град",3
18,"Наибольшая конусность верхнего стола по часовой стрелке, мм",0075
19,"Наибольшая конусность верхнего стола против часовой стрелки, мм",01
20,"Цена деления шкалы поворота верхнего стола, мин",15
21,"Цена деления шкалы поворота верхнего стола (конусность), мм",0005
22,Шлифовальная бабка,
23,"Диаметр шлифовального круга - наименьший/ наибольший, мм",600/ 900
24,"Диаметр шлифовального круга - посадочный, мм",305
25,"Наибольшая высота устанавливаемого круга, мм",40
26,Количество скоростей шпинделя шлифовальной бабки,2
27,"Частота вращения шпинделя шлифовальной бабки, об/мин",730..830
28,"Конец шлифовального шпинделя, мм",1:5
29,Механизм поперечных подач шлифовальной бабки,
30,"Наибольшее перемещение шлифовальной бабки по винту, мм",210
31,"Величина быстрого гидравлического подвода шлифовальной бабки, мм",50
32,"Время быстрого гидравлического подвода шлифовальной бабки, с",
33,"Толчковая подача - периодическая подача с реверсированием стола (на один зуб храпового колеса), мм",00025
34,"Цена деления лимба поперечной подачи, мм",0005
35,"Цена деления лимба тонкой поперечной подачи, мм",00025
36,"Величина поперечного перемещения шлифовальной бабки за один оборот маховика (лимба), мм",05
37,"Скорость быстрого установочного перемещения шлифовальной бабки, мм/мин",
38,Передняя бабка,
39,"Частота вращения изделия (при частоте тока 50 Гц), об/мин","31, 62, 108, 216"
40,Количество скоростей вращения изделия,4
41,Конус шпинделя передней бабки,Морзе 5
42,Задняя бабка,
43,"Величина отвода пиноли задней бабки от руки рычагом/ винтом, мм",35
44,Конус шпинделя пиноли задней бабки,Морзе 4
45,Привод и электрооборудование станка,
46,Количество электродвигателей на станке,4
47,"Электродвигатель шпинделя шлифовальной бабки, кВт",75
48,"Электродвигатель насоса системы охлаждения, кВт",0125
49,"Электродвигатель магнитного сепаратора, кВт",-
50,"Электродвигатель основного насоса гидросистемы, кВт",17
51,"Электродвигатель насоса системы смазки шпинделя, кВт",-
52,"Электродвигатель насоса системы смазки направляющих стола, кВт",-
53,"Электродвигатель привода изделия, кВт","0,7/ 1,2"
54,Габаритные размеры и масса станка,
55,"Габаритные размеры станка (длина х ширина х высота), мм",4600 х 2100 х 1580
56,"Масса станка с электрооборудованием и охлаждением, кг",5750
