index,Наименование параметра,6305Ф4
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,
2,Модель устройства ЧПУ,Н55-1
3,Количество управляемых координат,4
4,Количество одновременно управляемых координат при линейной/ круговой интерполяции,3
5,"Расстояние от оси шпинделя до рабочей поверхности стола, мм",0..500
6,"Предельные размеры обрабатываемых поверхности устанавливаемой на продольном столе (длина х ширина х высота), мм",1250 х 500 х 500
7,"Предельные размеры обрабатываемых поверхности устанавливаемой на круглом столе (длина х ширина х высота), мм",400 х 400 х 500
8,"Максимальная нагрузка на продольном столе, кг",1000
9,"Максимальная нагрузка на круглом столе, кг",500
10,Рабочий стол,
11,"Размеры рабочей поверхности стола (длина х ширина), мм",1250 х 500
12,"Диаметр круглого стола, мм",Ø 630
13,Число Т-образных пазов Размеры Т-образных пазов,3
14,"Наибольшее продольное перемещение стола (X), мм",1250
15,"Наибольшее перемещение ползуна, мм",365
16,"Предел рабочих подач стола и ползуна, мм/мин",10..2000
17,"Скорость быстрых перемещений стола, мм/мин",4800
18,Шпиндель,
19,"Частота вращения шпинделя, об/мин (число ступеней)",16..1600
20,"Наибольший крутящий момент, кгсм",39
21,Эскиз конца шпинделя по ГОСТ 24644-81 7:24,50
22,Магазин инструмента,
23,Емкость магазина инструмента,24
24,"Максимальный диаметр фрезы торцовой, мм",125
25,"Максимальный диаметр фрезы концевой, мм",
26,"Максимальный диаметр сверла, мм",
27,"Максимальный вес инструмента, кг",
28,"Вылет инструмента от торца шпинделя, мм, не более",
29,Электрооборудование и привод,
30,"Электродвигатель привода главного движения, кВт (об/мин)","7,8 ()"
31,"Электродвигатели привода подач, Нм",25
32,Габариты и масса станка,
33,"Габариты станка (длина ширина высота), мм",5300 х 4050 х 3175
34,"Масса станка, кг",14000
