index,Наименование параметра,5342
0,Основные параметры станка,
1,Класс точности станка по ГОСТ 8-82 и ГОСТ 659-78,
2,"Наибольший диаметр нарезаемых цилиндрических прямозубых колес без поддерживающей задней стойки (0°), мм",2000
3,"Наибольший диаметр нарезаемых цилиндрических прямозубых колес с поддерживающей задней стойкой (0°) (с контрподдержкой), мм",
4,"Наибольший модуль нарезаемого колеса червячной фрезой ( дисковой фрезой (сталь/чугун), мм",15/ 20; (20/ 25)
5,"Наибольшая длина зуба (длина фрезерования) нарезаемых прямозубых и косозубых колес с вертикальным / радиальным врезанием, мм",500 / 700
6,"Наибольший угол поворота суппорта (наклона зубьев, обрабатываемых колес), град",±45°
7,Наименьшее число зубьев нарезаемого колеса приоборотах не превышающих 1 об/мин,
8,"Расстояние между осями стола и фрезы, мм",200..1325
9,"Расстояние от плоскости стола и оси фрезы, мм",525..1275
10,Стойка суппорта. Салазки. Суппорт главный фрезерный,
11,Конус шпинделя фрезы,
12,"Наибальший диаметр х длина фрезы, мм",Ø 250 х 300
13,"Ускоренное перемещение салазок в вертикальном направлении, мм/мин",
14,"Доводочное перемещение салазок в вертикальном направлении, мм/мин",
15,"Ускоренное горизонтальное перемещение суппортной стойки по станине, мм/мин",
16,"Доводочное перемещение салазок в вертикальном направлении, мм/мин",
17,"Доводочное перемещение салазок в вертикальном направлении, мм/мин",
18,"Время поворота фрезерного суппорта на 180° при nфр, мин",
19,Приспособление для установки суппорта под углом,
20,Автоматическое включение обратного хода суппорта,
21,Предохранение от перегрузок,
22,Возможность изменения скорости в процессе работы,
23,Возможность изменения подачи в процессе работы,
24,Механика станка,
25,"Пределы оборотов фрезы, об/мин",112..100
26,Число ступеней оборотов фрезы (количество скоростей),
27,"Пределы вертикальных подач подач при работе червячной фрезой, мм/об стола",03..15
28,"Пределы вертикальных подач подач при работе дисковой фрезой, мм/об фрезы",
29,Число вертикальных ступеней подач,
30,"Пределы горизонтальных подач, мм/об стола",027..68
31,"Пределы тангенциальных подач, мм/об",
32,Стол,
33,"Диаметр стола, мм",1900
34,"Диаметр отверстия в столе, мм",300
35,"Диаметр делительного червячного колеса, мм",
36,"Число зубьев делительного колеса, мм",
37,"Наибольшая допустимая нагрузка на стол, кг",10000
38,"Ускоренное вращение стола, об/мин",
39,Привод и электрооборудование станка,
40,"Количество электродвигателей, установленных на станке",
41,"Электродвигатель главного привода, кВт (об/мин)",14
42,"Электродвигатель быстрых перемещений стойки и суппорта, быстрого вращения стола и единичного деления, кВт",
43,"Электродвигатель доводки стойки и суппорта, кВт",
44,"Электродвигатель привода гидронасоса охлаждения фрезы, кВт",
45,"Электродвигатель насоса смазки коробки настроек, кВт",
46,"Электродвигатель насоса смазки стола, кВт",
47,"Электродвигатель насоса смазки стойки и зарядки гидроаккамулятора, кВт",
48,"Электродвигатель транспортера стружки, кВт",
49,Габаритные размеры и масса станка,
50,"Габаритные размеры станка (длина х ширина х высота), мм",5875 х 2355 х 3250
51,"Масса станка с электрооборудованием и охлаждением, кг",31500
