index,Наименование параметра,6М82
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,Н
2,"Размеры рабочей поверхности стола (длина х ширина), мм",1250 х 320
3,"Расстояние от оси шпинделя до стола при ручном перемещении, мм",30...410
4,"Расстояние от оси шпинделя до хобота, мм",155
5,Рабочий стол,
6,"Максимальная нагрузка на стол (по центру), кг",
7,Число Т-образных пазов Размеры Т-образных пазов,3
8,"Наибольшее перемещение стола продольное механическое/ ручное, мм",700/ 700
9,"Наибольшее перемещение стола поперечное механическое/ ручное, мм",240/ 260
10,"Наибольшее перемещение стола вертикальное механическое/ ручное, мм",380/ 380
11,"Наибольший угол поворота стола, град",±45
12,"Цена одного деления шкалы поворота стола, град",1
13,"Перемещение стола на одно деление лимба (продольное, поперечное, вертикальное), мм",005
14,"Перемещение стола на один оборот лимба продольное/ поперечное/ вертикальное, мм",6/ 6/ 2
15,Шпиндель,
16,"Частота вращения шпинделя, об/мин",315...1600
17,Количество скоростей шпинделя,18
18,Внутренний конус шпинделя. Система/ размер,ГОСТ 836-47/ 3
19,Механика станка,
20,"Быстрый ход стола продольный/ поперечный/ вертикальный, м/мин",3/ 3/ 1
21,Число ступеней рабочих подач стола,18
22,"Пределы рабочих подач. Продольных и поперечных, мм/мин",25...1250
23,"Пределы рабочих подач. Вертикальных, мм/мин",83...4166
24,Выключающие упоры подачи продольных,есть
25,"Выключающие упоры подачи поперечных, вертикальных",нет
26,"Блокировка ручной и механической подачи (продольной, поперечной, вертикальной)",есть
27,Блокировка раздельного включения подачи,есть
28,Автоматическая прерывистая подача Продольная,есть
29,Автоматическая прерывистая подача Поперечная и вертикальная,нет
30,Торможение шпинделя,есть
31,Предохранение от перегрузки (муфта),есть
32,Привод,
33,"Электродвигатель привода главного движения, кВт/ об/мин",7/ 1440
34,"Электродвигатель привода подач, кВт/ об/мин","1,7/ 1440"
35,"Электродвигатель насоса охлаждающей жидкости, кВт/ об/мин","0,125/ 2800"
36,Электронасос охлаждающей жидкости Тип,ПА-22У2
37,"Производительность насоса СОЖ, л/мин",22
38,Габариты и масса станка,
39,"Габариты станка (длина ширина высота), мм",2260 1745 1660
40,"Масса станка, кг",2800
