index,Наименование параметра,2Р135Ф2
0,Основные параметры станка,
1,"Наибольший диаметр сверления в стали 45, мм",35
2,"Наибольший диаметр нарезаемой резьбы в стали 45, мм",М24
3,"Наименьшее и наибольшее расстояние от торца шпинделя до поверхности стола, мм",40..600
4,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",450
5,"Наибольший диаметр фрезы, мм",100
6,"Наибольшая глубина фрезерования, мм",2
7,"Наибольшая ширина фрезерования, мм",60
8,"Продольное перемещение стола по направляющим салазок (Ось Х), мм",630
9,"Поперечное перемещение салазок по направляющим станины по программе (Ось Y), мм",360
10,"Наибольшее перемещение шпиндельной бабки по программе (ось Z), мм",560
11,Суппорт. Шпиндельная бабка. Шпиндель,
12,"Частота вращения шпинделя, об/мин",45..2000 31..1400
13,Количество скоростей шпинделя,12
14,"Скорость быстрого перемещения суппорта (шпиндельной бабки), м/мин",4
15,"Количество подач суппорта по оси Z, мм",18
16,"Подачи суппорта, мм",10..500
17,"Наибольший допустимый крутящий момент, Нм",200
18,Конус шпинделя,
19,Рабочий стол,
20,"Размеры рабочей поверхности стола, мм",400 х 710
21,"Максимальная нагрузка на стол (по центру), кг",
22,Число Т-образных пазов Размеры Т-образных пазов,3
23,"Скорость быстрого перемещения стола и салазок, м/мин",7
24,"Скорость подачи стола и салазок при фрезеровании, м/мин",022
25,"Минимальная скорость перемещения стола, м/мин",005
26,"Точность позиционирования стола и салазок на длине хода, мм",005
27,Система ЧПУ 2П32-3,
28,Число управляемых координат,3
29,Число одновременно управляемых координат,2
30,"Дискретность задания перемещения стола, салазок и суппорта, мм",001
31,"Электрооборудование, привод",
32,"Электродвигатель привода главного движения, кВт",37
33,"Электродвигатель привода перемещения шпиндельной бабки (суппорта), кВт",13
34,"Электродвигатель привода перемещения салазок и стола, кВт",11
35,"Электродвигатель привода вращения револьверной головки, кВт",075
36,"Электронасос охлаждающей жидкости Х14-22М, кВт",0125
37,Габарит станка,
38,"Габариты станка, мм",1800 х 2170 х 2700
39,"Масса станка, кг",5390
