index,Наименование параметра,7210
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Наибольшие размеры обрабатываемого изделия (высота х ширина), мм",900 х 1000
3,"Наибольшее расстояние от поверхности стола до поперечины, мм",1000
4,"Расстояние между стойками, мм",1100
5,Стол,
6,"Размеры рабочей поверхности стола, мм",900 х 3000
7,"Наибольшее продольное перемещение стола (ход по оси X), мм",700..3200
8,"Максимальная нагрузка на стол (на 1м длины стола), кг",1500
9,"Вес стола, кг",3620
10,Суппорты,
11,Количество вертикальных суппортов на поперечине,2
12,Количество боковых суппортов на стойке,1
13,"Наибольшее горизонтальное перемещение вертикальных суппортов на поперечине, мм",1500
14,"Наибольшее вертикальное перемещение ползунов вертикальных суппортов, мм",300
15,"Наибольшее вертикальное перемещение бокового горизонтального суппорта, мм",900
16,"Цена деления лимба горизонтального перемещения вертикальных суппортов по поперечине, мм",025
17,"Перемещение на один оборот лимба горизонтального перемещения вертикальных суппортов по поперечине, мм",12
18,"Цена деления лимба вертикального перемещения бокового суппорта и ползунов, мм",0125
19,"Перемещение на один оборот лимба вертикального перемещения бокового суппорта и ползунов, мм",6
20,"Наибольший угол поворота вертикальных суппортов, град",±60°
21,"Цена деления лимба поворота вертикальных суппортов, град",1°
22,Поперечина,
23,"Наибольшее вертикальное перемещение поперечины, мм",900
24,"Время автоматического зажима поперечины на стойках, с",10
25,"Скорость вертикального установочного перемещения поперечины, м/мин",0346
26,Механика станка,
27,"Скорость рабочего хода стола в I диапазоне, м/мин",6..90
28,"Скорость рабочего хода стола во II диапазоне, м/мин",4..60
29,"Скорость обратного хода стола в I диапазоне, м/мин",20..90
30,"Скорость обратного хода стола во II диапазоне, м/мин",12..60
31,Регулирование скорости хода стола,Бесступ
32,"Пределы горизонтальных подач вертикальных суппортов на один двойной ход стола, мм",05..25
33,"Пределы вертикальных подач вертикальных суппортов на один двойной ход стола, мм",025..125
34,"Пределы горизонтальных и вертикальных подач бокового суппорта на один двойной ход стола, мм",025..125
35,"Шаг горизонтальных подач вертикальных суппортов, мм",05
36,"Шаг остальных подач суппортов, мм",025
37,"Скорость горизонтальных установочных перемещений вертикальных суппортов, мм",147
38,"Скорость вертикальных установочных перемещений вертикальных суппортов, м/мин",0735
39,"Скорость горизонтальных установочных перемещений бокового суппорта, м/мин",0735
40,"Скорость вертикальных установочных перемещений бокового суппорта, м/мин",0735
41,"Наибольшее тяговое усилие на рейке стола, кгс",7000
42,Предохранительное устройство для останова стола,Есть
43,Автоматический подъем резцедержателя при обратном ходе стола,Есть
44,Электрооборудование. Привод,
45,Количество электродвигателей на станке,
46,"Электродвигатель привода стола, кВт (об/мин)",75
47,"Электродвигатель привода трехмашинного преобразователя, кВт (об/мин)",40
48,"Электродвигатель привода двухмашинного преобразователя, кВт (об/мин)",
49,"Электродвигатель перемещения поперечины, кВт",22
50,"Электродвигатель зажима и отжима поперечины, кВт",06
51,"Электродвигатель привода подачи и перемещения вертикальных суппортов, кВт",22
52,"Электродвигатель привода подачи и перемещения бокового суппорта, кВт",22
53,"Электродвигатель вентилятора, кВт",06
54,"Электродвигатель привода маслонасоса, кВт",
55,"Генератор питания электродвигателя привода стола, кВт",90
56,"Генератор питания цепей управления, катушек электромагнитов и обмотки возбуждения электродвигателя привода стола, кВт",27
57,"Электродвигатель электромашинного усилителя возбудителя генератора привода стола, кВт",2
58,Габариты и масса станка,
59,"Габариты станка (длина ширина высота), мм",7950 х 4000 х 3450
60,"Масса станка, кг",27500
