index,Наименование параметра,1П426ДФ3
0,Основные параметры станка,
1,"Наибольший диаметр обрабатываемого изделия над станиной, мм",500
2,"Наибольший диаметр обрабатываемого изделия, мм",250
3,"Наибольшая длина обрабатываемого изделия, мм",
4,"Диаметр зажимных патронов, мм",250; 315
5,"Наибольший диаметр обрабатываемого прутка, мм",65
6,"Диаметр отверстия в шпинделе, мм",92
7,"Расстояние от торца шпинделя до грани револьверной головки, мм",350..850
8,"Расстояние от оси шпинделя до основания станка, мм",1120
9,"Наибольший размер нарезаемой резьбы плашками и метчиками, мм",
10,Количество инструментов в револьверной головке,
11,"Наибольшее сечение резцов в револьверной головке, мм",
12,"Диаметр отверстия в револьверной головке под цилиндрический хвостовик, мм",
13,Шпиндель,
14,"Пределы чисел оборотов шпинделя с зажимным патроном, об/мин",30..1800
15,"Пределы чисел оборотов приводного инструмента, об/мин",-
16,"Количество скоростей шпинделя, об/мин",18
17,Конец шпинделя фланцевый по ГОСТ 12595-72,8
18,"Наибольший допустимый крутящий момент на шпинделе не менее, Нм (кг*м)",
19,"Наибольший допустимый крутящий момент на инструментальном шпинделе не менее, Нм (кг*м)",-
20,Суппорт. Подачи,
21,"Наибольшее перемещение револьверного суппорта: продольное (Z)/ поперечное (X), мм",560/ 340
22,"Диапазон скоростей продольных подач револьверного суппорта (Z), мм/мин",1..6000
23,"Диапазон скоростей поперечных подач револьверного суппорта (X), мм/мин",05..3000
24,"Скорость быстрых перемещений суппорта по оси Z/ X, м/мин",15
25,"Диапазон скоростей круговых подач шпинделя (ось С), град/мин",-
26,"Наибольшее усилие подач револьверного суппорта по оси Z/ X, кН",20/ 10
27,"Время поворота круглой револьверной головки, с",2
28,"Время поворота шестигранной револьверной головки, с",3
29,"Величина перемещения револьверного суппорта по оси Z/ X на один импульс, мм","0,010/ 0,005"
30,"Дискретность задания кругового перемещения шпинделя, град",-
31,Количество инструментов в револьверной головке,8; 6
32,"Наибольший диаметр приводного инструмента, мм",-
33,"Точность позиционирования суппорта в продольном направлении (ось Z), мм",
34,"Точность позиционирования суппорта в поперечном направлении (ось Х), мм",
35,"Точность позиционирования шпинделя (ось С), мин",-
36,"Наибольшее перемещение пиноли, мм",
37,Электрооборудование станка,
38,"Количество электродвигателей на станке (с электронасосами), кВт",6
39,"Электродвигатель главного привода, кВт",185
40,"Электродвигатель привода продольной подачи (ось Z), Н*м",13
41,"Электродвигатель привода поперечной подачи (ось Х), Н*м",13
42,"Электродвигатель привода круговой подачи (ось С), Н*м",-
43,"Электродвигатель приводного иструмента, Н*м",-
44,"Электродвигатель привода смазочной системы коробки скоростей, кВт",055
45,"Электродвигатель насоса гидропривода, кВт",22
46,"Электродвигатель вентилятора гидростанции, кВт",-
47,"Электродвигатель насоса охлаждения, кВт",012
48,"Электродвигатель охлаждения дигателя главного движения, кВт",-
49,"Электродвигатель привода экрана ограждения, кВт",-
50,"Электродвигатель привода транспортера стружки, кВт",-
51,"Суммарная мощность всех электродвигателей, кВт",
52,Габариты и масса станка,
53,"Габаритные размеры станка (длина, ширина, высота), мм",3525 х 1570 х 2655
54,"Масса станка , кг",8660
