index,Наименование параметра,6М80
0,Основные параметры станка,
1,"Размеры поверхности стола, мм",800 х 200
2,"Наибольшие размеры устанавливаемой детали (длина х ширина х высота), мм",
3,"Наибольшие размеры обрабатываемой детали (длина х ширина х высота), мм",
4,"Наибольшая масса обрабатываемой детали, кг",
5,"Расстояние от оси шпинделя до хобота, мм",140
6,"Расстояние от оси шпинделя до поверхности стола, мм",0..300
7,"Расстояние от торца шпинделя до подшипника серьги, мм",440
8,"Расстояние от задней кромки стола до вертикальных направляющих станины (вылет), мм",80..240
9,Шпиндель горизонтальный,
10,"Частота вращения шпинделя, об/мин",50..2240
11,Количество скоростей шпинделя,12
12,"Наибольший крутящий момент на шпинделе, Н*м",
13,Конец шпинделя ГОСТ 836-72 (ГОСТ 24644),
14,Стол. Подачи стола,
15,"Наибольший продольный ход стола (X), мм",500
16,"Наибольший поперечный ход стола (Y), мм",160
17,"Наибольший вертикальный ход стола (Z), мм",300
18,"Угол поворота стола, град",±45°
19,"Пределы продольных и поперечных подач стола (X), мм/мин",16..710
20,"Пределы продольных и поперечных подач стола (Y), мм/мин",112..500
21,"Пределы вертикальных подач стола (Z), мм/мин",56..250
22,"Количество ступеней подач стола (продольных, поперечных, вертикальных)",12
23,"Скорость быстрых перемещений (продольных, поперечных/ вертикальных) X, Y/ Z, мм/мин","2,8/ 2,0/ 1,0"
24,"Перемещение стола на одно деление лимба (продольное, поперечное/ вертикальное), мм","0,05/ 0,02"
25,"Перемещение стола на один оборот лимба (продольное, поперечное/ вертикальное), мм",6/ 2
26,"Наибольшее допустимое усиле резания (продольное/ поперечное/ вертикальное), кН",
27,Механика станка,
28,"Выключающие упоры подачи (продольной, поперечной, вертикальной)",Есть
29,"Блокировка ручной и механической подач (продольной, поперечной, вертикальной)",
30,Блокировка раздельного включения подач,
31,Торможение шпинделя,
32,Предохранительная муфта от перегрузок,Есть
33,Автоматическая прерывистая подача,
34,Электрооборудование и приводы станка,
35,Количество электродвигателей на станке,
36,"Электродвигатель главного движения, кВт (об/мин)","2,8 (1420)"
37,"Электродвигатель привода подач, кВт","0,6 (1410)"
38,"Электродвигатель зажима инструмента, кВт",-
39,"Электродвигатель насоса СОЖ, кВт","0,125 (2800)"
40,"Суммарная мощность всех электродвигателей, кВт",
41,Габариты и масса станка,
42,"Габариты станка (длина ширина высота), мм",1720 х 1785 х 1578
43,"Масса станка, кг",1400
