index,Наименование параметра,1А225-6
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,Н
2,Количество рабочих шпинделей,6
3,"Диаметр отверстия в шпинделях, мм",46
4,"Наибольшая длина обработки, мм",
5,"Наибольшая длина подачи прутка, мм",150
6,"Наибольший диаметр прутка, мм",25
7,"Наибольшая сторона квадратного прутка, мм",17
8,"Наибольшая сторона шестигранного прутка, мм",22
9,"Наибольший диаметр резьбы, нарезаемой метчиками по стали, мм",18
10,"Наибольший диаметр резьбы, нарезаемой метчиками по латуни, мм",24
11,"Наибольшая длина прутка, мм",4000
12,"Наибольшая масса обрабатываемой детали, кг",
13,Инструментальные суппорты,
14,Количество продольных суппортов,
15,Количество поперечных суппортов,6
16,"Наибольший общий/ рабочий ход продольного суппорта, мм",90..160/ 0..70
17,"Наибольший общий/ рабочий ход поперечного суппорта I, II, III, мм",3..20/ 21..65
18,"Наибольший общий/ рабочий ход поперечного суппорта IV, V, мм",3..20/ 21..65
19,"Наибольший общий/ рабочий ход отрезного суппорта VI, мм",3..20/ 21..65
20,"Частота вращения шпинделей, об/мин (число скоростей)",280..2560 (24)
21,"Величина подач продольного суппорта, мм/об",
22,"Величина подач поперечных суппортов, мм/об",
23,Электрооборудование,
24,Количество электродвигателей на станке,2
25,"Электродвигатель главного привода (шпинделей), кВт (об/мин)",14 (1500)
26,"Электродвигатель наладочного вращения, кВт (об/мин)","1,1 (1400)"
27,"Электродвигатель привода транспортера стружки, кВт",
28,"Электродвигатель насоса смазки, кВт",
29,"Электродвигатель насоса охлаждения, кВт",
30,"Установленная мощность, кВт",
31,Габариты и масса станка,
32,"Габариты станка без приставного оборудования (длина ширина высота), мм",5700 х 2100 х 2115
33,"Масса станка, кг",5700
