index,Наименование параметра,16К20
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр заготовки, обрабатываемой над станиной, мм",400
3,"Наибольший диаметр заготовки, обрабатываемой над суппортом, мм",220
4,"Наибольшая длина заготовки, обрабатываемой в центрах (РМЦ), мм","710, 1000, 1400, 2000"
5,"Наибольшая длина обточки, мм","645, 935, 1335, 1935"
6,"Высота оси центров над плоскими направляющими станины, мм",215
7,"Наибольшее расстояние от оси центров до до кромки резцедержателя, мм",
8,"Высота от опорной поверхности резца до оси центров (высота резца), мм",25
9,"Наибольшее сечение державки резца, мм",25 x 25
10,"Наибольшая масса заготовки, обрабатываемой в патроне, кг",200
11,"Наибольшая масса заготовки, обрабатываемой в центрах, кг","460, 650, 900, 1300"
12,Шпиндель,
13,"Диаметр сквозного отверстия в шпинделе, мм",52
14,"Наибольший диаметр прутка, проходящий через отверстие в шпинделе, мм",50
15,Число ступеней частот прямого вращения шпинделя,24
16,"Частота вращения шпинделя в прямом направлении, об/мин",125..1600
17,Число ступеней частот обратного вращения шпинделя,12
18,"Частота вращения шпинделя в обратном направлении, об/мин",19..1900
19,"Размер внутреннего конуса в шпинделе, М",Морзе 6
20,Конец шпинделя фланцевого,6К по ГОСТ 12593-72
21,Торможение шпинделя,есть
22,Материал шпинделя,
23,Суппорт. Подачи,
24,"Наибольшее перемещение продольной каретки суппорта от руки, мм",
25,"Наибольшее перемещение продольной каретки суппорта по валику и по винту, мм","645, 935, 1335, 1935"
26,"Наибольшее перемещение поперечной каретки суппорта от руки, мм",300
27,"Наибольшее перемещение поперечной каретки суппорта по валику и по винту, мм",
28,"Продольное перемещение на одно деление лимба, мм",1
29,"Поперечное перемещение на одно деление лимба, мм",005
30,"Поперечное перемещение на один оборот лимба (шаг винта поперечного суппорта), мм",
31,Число ступеней продольных подач,
32,"Пределы рабочих подач продольных, мм/об",005..28
33,Число ступеней поперечных подач,
34,"Пределы рабочих подач поперечных, мм/об",0025..14
35,"Скорость быстрых перемещений суппорта, продольных, м/мин",38
36,"Скорость быстрых перемещений суппорта, поперечных, м/мин",19
37,"Максимально допустимая скорость при работе по упорам, м/мин",025
38,Количество нарезаемых резьб метрических,
39,"Пределы шагов метрических резьб, мм",05..112
40,Количество нарезаемых резьб дюймовых,
41,"Пределы шагов дюймовых резьб, ниток/дюйм",56..05
42,Количество нарезаемых резьб модульных,
43,"Пределы шагов модульных резьб, модуль",05..112
44,Количество нарезаемых резьб питчевых,
45,Пределы шагов нарезаемых резьб питчевых,56..05
46,Выключающие упоры продольные,есть
47,Выключающие упоры поперечные,
48,Предохранение от перегрузки,есть
49,Блокировка одновременного включения продольного и поперечного движения суппорта,есть
50,Резьбоуказатель,
51,"Наружный диаметр ходового винта, мм",
52,"Шаг ходового винта, мм",
53,"Диаметр ходового вала, мм",
54,Резцовые салазки,
55,"Наибольшее перемещение резцовых салазок, мм",150
56,"Перемещение резцовых салазок на одно деление лимба, мм",005
57,"Перемещение резцовых салазок на один оборот лимба (шаг винта резцовых салазок), мм",
58,"Наибольший угол поворота резцовых салазок, град",±90°
59,"Цена деления шкалы поворота резцовых салазок, град",1°
60,Число резцов в резцовой головке,4
61,Задняя бабка,
62,"Диаметр пиноли задней бабки, мм",
63,Конус отверстия в пиноли задней бабки по ГОСТ 2847-67,Морзе 5
64,"Наибольшее перемещение пиноли, мм",150
65,"Перемещение пиноли на одно деление лимба, мм",01
66,"Величина поперечного смещения корпуса бабки, мм",±15
67,Электрооборудование,
68,Количество электродвигателей на станке,4
69,"Электродвигатель главного привода, кВт",11
70,"Электродвигатель быстрых перемещений, кВт",075
71,"Электродвигатель гидростанции, кВт",11
72,"Электродвигатель насоса охлаждения, кВт",012
73,Насос охлаждения (помпа),ПА-22
74,Габариты и масса станка,
75,"Габариты станка (длина ширина высота) (РМЦ = 1000), мм",2795 х 1190 х 1500
76,"Масса станка (РМЦ = 1000), кг",3005
