index,Наименование параметра,3А228
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр устанавливаемого изделия, мм",566
3,"Наибольший диаметр устанавливаемого изделия в кожухе, мм",
4,"Наибольшая длина устанавливаемого изделия, мм",322
5,"Наименьший и наибольший диаметр шлифуемого отверстия, мм",20..200
6,"Наибольшая длина шлифования при диаметре шлифования не менее 100 мм, мм",320
7,"Наибольшая рекомендуемая длина шлифования при наименьшем диаметре, мм",
8,"Расстояние от оси шпинделя передней бабки до подошвы станины, мм",
9,"Расстояние от оси шпинделя передней бабки до зеркала стола (высота центров), мм",
10,"Расстояние от опорного торца фланца шпинделя изделия до торца кронштейна шлифовальной бабки, мм",
11,"Расстояние от торца нового круга торцешлифовального приспособления до опорного торца фланца шпинделя, мм",
12,Рабочий стол станка,
13,"Наибольшая длина перемещения стола, мм",
14,"Ручное перемещения стола за один оборот маховика, мм",
15,"Скорость перемещения стола при шлифовании, м/мин",
16,"Скорость перемещения стола при правке круга, м/мин",
17,"Скорость перемещения стола при быстром продольном подводе и отводе, м/мин",
18,Торцешлифовальное приспособление,
19,"Частота вращения торцового шпинделя, 1/мин",
20,"Продольное перемещение торцового шлифовального круга наибольшее наладочное, мм",
21,"Продольное перемещение торцового шлифовального круга наибольшее рабочее (тонкое), мм",
22,"Продольное перемещение торцового шлифовального круга за один оборот маховичка наладочного перемещения, мм",
23,"Продольное перемещение торцового шлифовального круга за один оборот маховичка рабочей (тонкой) подачи, мм",
24,"Продольное перемещение торцового шлифовального круга на одно деление лимба рабочей (тонкой) подачи, мм",
25,Шлифовальная бабка,
26,"Частота вращения внутришлифовальных головок, 1/мин",6580..14600
27,"Наибольший диаметр шлифовального круга по ГОСТ 2424-83, мм",
28,"Наибольшая окружная скорость шлифовального круга, м/с",
29,"Диаметр гильзы внутришлифовальной головки, мм",
30,"Диаметр конца шлифовального шпинделя по ГОСТ 2324-77, мм",
31,Поперечное перемещение шлифовальной бабки,
32,"Перемещение за один оборот маховичка - грубое (наладочное), мм",
33,"Перемещение за один оборот маховичка - тонкое, мм",
34,"Перемещение на одно деление лимба, мм",
35,"Перемещение на одно качание рычага ручной дозированной подачи, мм",
36,"Наибольшее наладочное перемещение шлифовальной бабки - назад (на рабочего), мм",
37,"Наибольшее наладочное перемещение шлифовальной бабки - вперед (от рабочего), мм",
38,Передняя бабка (бабка изделия),
39,"Условный диаметр конца шпинделя изделия, по ГОСТ 12595-72",
40,"Наибольший угол поворота бабки изделия, град",
41,"Наибольший наладочное перемещение бабки изделия - назад (на рабочего), град",
42,"Наибольший наладочное перемещение бабки изделия - вперед (от рабочего), град",
43,"Частота вращения изделия (бесступенчатое регулирование), об/мин",
44,Привод и электрооборудование станка,
45,Количество электродвигателей на станке,
46,"Электродвигатель шпинделя шлифовальной бабки, кВт",
47,"Электродвигатель привода торцешлифовального приспособления, кВт",
48,"Электродвигатель привода изделия (бабки изделия) постоянного тока, кВт",
49,"Электродвигатель насоса гидросистемы, кВт",
50,"Электродвигатель фильтра-транспортера, кВт",
51,"Электродвигатель насоса системы охлаждения, кВт",
52,"Электродвигатель магнитного сепаратора, кВт",
53,"Общая мощность электродвигателей, кВт",
54,"Преобразователь тиристорный ЭТ1Е2-10, кВт",
55,Габаритные размеры и масса станка,
56,"Габаритные размеры станка (длина х ширина х высота), мм",3000 х 1570 х 1450
57,"Масса станка с электрооборудованием и охлаждением, кг",4350
