index,Наименование параметра,1325Ф30
0,Основные параметры станка,
1,"Носитель инструмента, закрепленный на суппорте",Головка револьверная
2,"Наибольший диаметр обрабатываемого изделия над станиной, мм",320
3,"Наибольший диаметр обрабатываемого прутка, мм",25
4,"Диаметр отверстия в шпинделе, мм",40
5,"Наибольшая длина обрабатываемого прутка в цанговом зажиме, мм",100
6,"Наибольшая длина обрабатываемого прутка в патроне, мм",60
7,"Наибольшая длина прутка, устанавливаемого в зажимной и подающей трубе, мм",3000
8,"Рекомендуемая длина прутка, устанавливаемого в зажимной и подающей трубе, мм",1200
9,"Наибольшая длина прутка, устанавливаемого без подающего устройства, мм",850
10,"Наибольшая длина подачи прутка, мм",80
11,"Высота центров, мм",170
12,"Расстояние от торца шпинделя до револьверной головки, мм",100/ 350
13,"Расстояние от оси шпинделя до основания станка, мм",1060
14,"Наибольший размер нарезаемой резьбы плашками и метчиками, мм",М12
15,Количество инструментов в револьверной головке,12
16,Шпиндель,
17,"Пределы чисел оборотов шпинделя с цанговым патроном, об/мин",90..4000
18,"Пределы чисел оборотов шпинделя с зажимным патроном, об/мин",90..2800
19,Конец шпинделя фланцевый по ГОСТ 12595-72,1-5Ц
20,Тип токарного патрона,
21,Подачи,
22,"Размер рабочего стола, по оси Z/X, мм",-
23,"Наибольшее перемещение револьверного суппорта: продольное (Z)/ поперечное (X), мм",250/ 120
24,"Диапазон скоростей продольных подач револьверного суппорта, мм/мин",2..2500
25,"Диапазон скоростей поперечных (круговых) подач револьверного суппорта, мм/мин",1..1250
26,"Диапазон ускоренных подач револьверного суппорта по осям X/ Z, мм/мин",
27,"Наибольшее усилие подач револьверного суппорта по оси Z/ X, кН",4/ 2
28,"Точность позиционирования суппорта, мм",
29,"Повторяемость, мм",
30,Смена инструмента,автомат
31,Система ЧПУ,
32,Система ЧПУ,
33,"Количество одновременно управляемых координат (X, Z, C)",
34,Электрооборудование станка,
35,"Количество электродвигателей на станке, кВт",6
36,"Электродвигатель главного привода, кВт",6
37,"Электродвигатель привода центральной смазочной системы, кВт",025
38,"Электродвигатель привода револьверной головки, кВт",037
39,"Электродвигатель привода подачи и зажима прутка, кВт",055
40,"Электродвигатель привода ловителя детали, кВт",012
41,"Электродвигатель насоса охлаждения, кВт",012
42,"Мощность потребляемая станком не более, кВт",
43,Габариты и масса станка,
44,"Габаритные размеры станка (длина, ширина, высота), мм",2550 х 1112 х 1700
45,"Масса станка , кг",2600
