index,Наименование параметра,1365
0,Основные параметры станка,
1,"Наибольший диаметр обрабатываемого изделия над станиной, мм",500
2,"Наибольший диаметр обрабатываемого прутка, мм",80
3,"Наибольший диаметр обрабатываемого изделия над поперечным суппортом, мм",320
4,"Наибольший диаметр обрабатываемого изделия над нижней частью поперечного суппорта, мм",450
5,"Высота центров, мм",250
6,"Расстояние от торца шпинделя до револьверной головки, мм",275..1000
7,Шпиндель,
8,"Диаметр отверстия в шпинделе, мм",85
9,Количество рабочих скоростей шпинделя,12
10,"Пределы чисел оборотов шпинделя, об/мин",34..1500
11,"Пределы чисел оборотов шпинделя (обратное вращение), об/мин",34..1500
12,Конец шпинделя фланцевый по ГОСТ 12595-75,1-8Ц
13,"Наибольший крутящий момент на шпинделе не менее, Нм (кг*м)",
14,Револьверный суппорт,
15,Тип револьверной головки по ГОСТ 3859-72,2 шестигранная
16,Количество инструментов в револьверной головке,6
17,"Диаметр отверстия под инструмент в револьверной головке, мм",95Н7
18,"Наибольшее продольное перемещение револьверного суппорта, мм",725
19,Количество ступеней подач,13
20,"Диапазон скоростей продольных подач револьверного суппорта, I ряд, мм/об (количество ступеней)","0,09..1,35 (9)"
21,"Диапазон скоростей продольных подач револьверного суппорта, II ряд, мм/об (количество ступеней)","0,18..2,70 (9)"
22,"Скорость быстрого продольного перемещения револьверного суппорта, м/мин (количество ступеней)",6
23,Число упоров револьверного суппорта,6
24,"Продольное перемещение револьверного суппорта на одно деление лимба, мм",02
25,"Продольное перемещение револьверного суппорта на один оборот лимба, мм",45
26,Поперечный суппорт,
27,Количество резцов в резцедержателе,4
28,Количество резцов в заднем резцедержателе,1
29,"Наибольшая ширина х длина резца, мм",20 х 32
30,"Наибольшее перемещение поперечного суппорта продольное/поперечное, мм",725/ 310
31,Количество ступеней продольных подач поперечного суппорта,13
32,"Диапазон скоростей продольных подач поперечного суппорта, I ряд, мм/об (число ступеней)","0,09..1,35 (9)"
33,"Диапазон скоростей продольных подач поперечного суппорта, II ряд, мм/об (число ступеней)","0,18..2,70 (9)"
34,Количество ступеней поперечных подач поперечного суппорта,12
35,"Диапазон скоростей поперечных подач поперечного суппорта, I ряд, мм/об (число ступеней)","0,045..0,7 (9)"
36,"Диапазон скоростей поперечных подач поперечного суппорта, II ряд, мм/об (число ступеней)","0,09..1,35 (9)"
37,"Скорость быстрого продольного перемещения суппорта, м/мин",6
38,Число упоров продольного перемещения,5
39,Число упоров поперечного перемещения,2
40,"Перемещение на одно деление лимба продольное/поперечное, мм","0,2/ 0,05"
41,"Перемещение на один оборот лимба продольное/поперечное, мм",45/ 10
42,Электрооборудование станка,
43,"Количество электродвигателей на станке, кВт",2
44,"Электродвигатель главного привода, кВт (об/мин)",13 (1450)
45,"Электродвигатель гидропривода, кВт (об/мин)",-
46,"Электродвигатель насоса охлаждения, кВт (об/мин)","0,125 (2800)"
47,Габариты и масса станка,
48,"Габаритные размеры станка (длина, ширина, высота), мм",5845 х 1500 х 1655
49,"Масса станка , кг",4250
