index,Наименование параметра,5140
0,Основные параметры станка,
1,"Наибольший модуль нарезаемого колеса, мм",8
2,Наибольший диаметр нарезаемых цилиндрических прямозубых колес,500
3,"Наибольшая ширина нарезаемого венца (длина нарезки), мм",100
4,"Наибольший диаметр нарезаемых цилиндрических прямозубых колес внутреннего зацепления, мм",
5,"Наибольшая ширина нарезаемого венца (длина нарезки) внутреннего зацепления, мм",
6,"Наибольший угол спирального зуба, град",35
7,"Наибольшее расстояние от оси долбяка (шпинделя, штосселя) до оси стола (планшайбы), мм",0..355
8,"Расстояние от зеркала стола (планшайбы) до торца шпинделя, мм",75..225
9,"Расстояние от пола до поверхности планшайбы, мм",855
10,Суппорт. Шпиндель (штоссель) долбяка,
11,"Наибольшее перемещение шпинделя, мм",150
12,"Наибольший ход долбяка (шпинделя), мм",125
13,"Наибольший отвод инструмента от от изделия во время холостого хода, мм",-
14,"Цена деления шкалы установки глубины долбления зуба, мм",
15,"Наибольший диаметр устанавливаемого долбяка, мм",100
16,Пределы чисел двойных ходов долбяка в минуту,65..450
17,"Диаметр оправки под долбяк, мм","31,743; 44,443"
18,Конец шпинделя для крепления инструмента,Морзе 5
19,Рабочий стол (планшайба),
20,"Диаметр фланца рабочего стола (планшайбы), мм",500
21,"Диаметр отверстия в шпинделе рабочего стола, мм",110A
22,"Наибольший ход рабочего стола, мм",355
23,"Наибольший отход стола от режущей кромки инструмента во время холостого хода, мм",045
24,"Быстрое перемещение стола, м/мин",15
25,"Быстрое вращение стола, об/мин",25
26,"Цена деления лимба установки межцентрового расстояния, мм",001
27,Автоматический подвод,есть
28,Автоматический останов,есть
29,Привод и электрооборудование станка,
30,Количество электродвигателей на станке,4
31,"Электродвигатель главного привода, кВт (об/мин)",11
32,"Электродвигатель привода быстрого вращения стола, кВт (об/мин)",018
33,"Электродвигатель насоса гидропривода, кВт (об/мин)",027
34,"Электродвигатель привода круговой подачи, кВт (об/мин)",-
35,"Электродвигатель насоса охлаждения, кВт (об/мин)",012
36,"Суммарная мощность электродвигателей, кВт",
37,Габаритные размеры и масса станка,
38,"Габаритные размеры станка (длина х ширина х высота), мм",17250 х 1250 х 2350
39,"Масса станка с электрооборудованием и охлаждением, кг",4200
