index,Наименование параметра,2450
0,Основные параметры станка,
1,"Рабочая поверхность стола, мм",1100 х 630
2,"Наибольшая масса обрабатываемого изделия, кг",
3,"Наибольший диаметр сверления в стали 45, мм",40
4,"Наибольший диаметр расточки в стали 45, мм",250
5,"Наименьшее и наибольшее расстояние от торца шпинделя до стола, мм",250...750
6,"Наибольшее перемещение стола, мм",1000 х 630
7,"Точность установки стола по координатам, мм","±0,01"
8,"Наибольшее вертикальное (ход) перемещение шпинделя (ручное, механическое), мм",250
9,"Наибольшее вертикальное перемещение шпиндельной коробки (установочное), мм",250
10,"Расстояние от оси шпинделя до стойки (вылет шпинделя), мм",700
11,Внутренний конус шпинделя,
12,Наибольший конус закрепляемого инструмента,
13,Закрепление шпиндельной коробки на направляющих,
14,Предохранение от перегрузки механизма подач,
15,Число Т- образных пазов на столе,
16,"Величина ускоренного перемещения стола, мм/мин",
17,"Пределы рабочих подач при фрезеровании, мм/мин",
18,"Цена деления растровой сетки установки координат, мм",
19,"Частота вращения шпинделя (б/с регулирование), об/мин",50..1900
20,"Пределы рабочих подач на один оборот шпинделя (б/с регулирование), мм",004..016
21,"Скорость быстрых перемещений стола в продольном и поперечном направлениях, мм/мин",1000
22,Привод,
23,Количество электродвигателей на станке,
24,"Электродвигатель привода главного движения, кВт",2
25,"Привод перемещения стола, кВт",04
26,"Привод перемещения салазок (3600), кВт",
27,"Привод зажима отжима стола, кВт",
28,"Привод зажима отжима салазок, кВт",
29,Электронасос охлаждающей жидкости Тип,
30,Габарит станка,
31,"Габариты станка, включая ход стола и салазок, мм",
32,"Масса станка, кг",
