index,Наименование параметра,6Г606
0,Основные параметры станка,
1,Число вертикальных шпинделей,1
2,Число горизонтальных шпинделей,2
3,"Расстояние от торца вертикального шпинделя до поверхности стола, мм",760
4,"Расстояние от оси горизонтального шпинделя до поверхности стола, мм",25..560
5,"Расстояние между между торцами горизонтальных шпинделей, мм",
6,"Наибольшие размеры обрабатываемого изделия, мм",
7,Стол,
8,"Наибольшая масса обрабатываемой заготовки, кг",
9,"Размеры рабочей поверхности стола, мм",630 х 2000
10,"Наибольший ход стола, мм",2000
11,Число подач стола,Б/с
12,"Диапазон подач стола, мм/мин",
13,"Ускоренное перемещение стола, мм/мин",6000
14,Бабка шпиндельная вертикальная и горизонтальные. Шпиндели,
15,"Частота вращения шпинделей, об/мин",20..2000
16,Количество скоростей шпинделя,21
17,Число подач шпиндельных бабок и гильзы шпинделя,Б/с
18,"Диапазон подач шпиндельных бабок и гильзы шпинделя, мм/мин",5..4000
19,"Скорость быстрого (установочного) перемещения бабок, м/мин",2000
20,Перемещение шпиндельных бабок от руки,есть
21,"Перемещение шпинделя на обно деление лимба, мм",005
22,"Перемещение шпинделя на один оборот лимба, мм",06
23,Размер конуса шпинделя по ГОСТ 836-47,№ 3
24,Конец шпинделя по ГОСТ 24644-81,
25,"Ход гильзы шпинделя (ручное перемещение), мм",200
26,"Угол поворота горизонтальной шпиндельной бабки, град",-
27,"Угол поворота вертикальной шпиндельной бабки, град",-
28,"Наибольший крутящий момент на шпинделе станка, кНм",
29,Траверса,
30,"Скорость установочного перемещения поперечины (траверсы), мм/мин",
31,Электрооборудование и привод станка,
32,Количество электродвигателей на станке,
33,"Электродвигатель привода главного движения горизонтальных бабок, кВт (об/мин)",18
34,"Электродвигатель привода главного движения вертикальной бабки, кВт (об/мин)",22
35,"Электродвигатель привода подач стола, кВт (об/мин)",11
36,"Электродвигатель привода подач вертикальной бабки, кВт (об/мин)",3
37,"Электродвигатель приводов подач горизонтальных бабок, кВт (об/мин)",3
38,"Электродвигатель перемещения поперечины (траверсы), кВт",
39,"Электродвигатель насоса гидростанции, кВт",
40,"Электродвигатель привода насоса смазки, кВт",
41,"Электродвигатель привода механизма зажима инструмента, кВт",
42,"Электродвигатель привода перемещения вертикальной фрезерной бабки, кВт",
43,"Электродвигатель насоса охлаждения, кВт",018
44,"Электродвигатель механизма уборки стружки, кВт",04
45,"Суммарная мощность установленных на станке электродвигателей, кВт",
46,Габаритные размеры и масса станка,
47,"Габаритные размеры (длина х ширина х высота), мм",6200 х 3800 х 3600
48,"Масса станка, кг",21900
