index,Наименование параметра,1П420ПФ40
0,Основные параметры станка,
1,"Наибольший диаметр обрабатываемого изделия над станиной, мм",450
2,"Наибольший диаметр обрабатываемого изделия, мм",200
3,"Наибольшая длина обрабатываемого изделия, мм",130
4,"Диаметр зажимных патронов, мм",200
5,"Наибольший диаметр обрабатываемого прутка, мм",50
6,"Диаметр отверстия в шпинделе, мм",70
7,"Расстояние от торца шпинделя до грани револьверной головки, мм",-
8,"Расстояние от оси шпинделя до основания станка, мм",
9,"Наибольший размер нарезаемой резьбы плашками и метчиками, мм",
10,Количество инструментов в револьверной головке,12
11,"Наибольшее сечение резцов в револьверной головке, мм",25 х 25
12,"Диаметр отверстия в револьверной головке под цилиндрический хвостовик, мм",40
13,Шпиндель,
14,"Пределы чисел оборотов шпинделя с зажимным патроном, об/мин",20..4000
15,"Пределы чисел оборотов приводного инструмента, об/мин",20..2500;20..1500
16,"Количество скоростей шпинделя, об/мин",Б/с
17,Конец шпинделя фланцевый по ГОСТ 12595-72,6
18,"Наибольший допустимый крутящий момент на шпинделе не менее, Нм (кг*м)",500
19,"Наибольший допустимый крутящий момент на инструментальном шпинделе не менее, Нм (кг*м)",10
20,Суппорт. Подачи,
21,"Наибольшее перемещение револьверного суппорта: продольное (Z)/ поперечное (X), мм",630/ 240
22,"Диапазон скоростей продольных подач револьверного суппорта (Z), мм/мин",1..5000
23,"Диапазон скоростей поперечных подач револьверного суппорта (X), мм/мин",1..5000
24,"Скорость быстрых перемещений суппорта по оси Z/ X, м/мин",10
25,"Диапазон скоростей круговых подач шпинделя (ось С), град/мин",1..2000
26,"Наибольшее усилие подач револьверного суппорта по оси Z/ X, кН",
27,"Время поворота круглой револьверной головки, с",
28,"Время поворота шестигранной револьверной головки, с",-
29,"Величина перемещения револьверного суппорта по оси Z/ X на один импульс, мм","0,001/ 0,0005"
30,"Дискретность задания кругового перемещения шпинделя, град",0001
31,Количество инструментов в револьверной головке,12
32,"Наибольший диаметр приводного инструмента, мм",12
33,"Точность позиционирования суппорта в продольном направлении (ось Z), мм",0025
34,"Точность позиционирования суппорта в поперечном направлении (ось Х), мм",0010
35,"Точность позиционирования шпинделя (ось С), мин",2
36,"Наибольшее перемещение пиноли, мм",180
37,Электрооборудование станка,
38,"Количество электродвигателей на станке (с электронасосами), кВт",12
39,"Электродвигатель главного привода, кВт",30/ 22
40,"Электродвигатель привода продольной подачи (ось Z), Н*м",13/13
41,"Электродвигатель привода поперечной подачи (ось Х), Н*м",10/13
42,"Электродвигатель привода круговой подачи (ось С), Н*м",10/13
43,"Электродвигатель приводного иструмента, Н*м",10/13
44,"Электродвигатель привода смазочной системы коробки скоростей, кВт",
45,"Электродвигатель насоса гидропривода, кВт",22
46,"Электродвигатель вентилятора гидростанции, кВт",012
47,"Электродвигатель насоса охлаждения, кВт","2 х 0,12"
48,"Электродвигатель охлаждения дигателя главного движения, кВт",025
49,"Электродвигатель привода экрана ограждения, кВт",018
50,"Электродвигатель привода транспортера стружки, кВт",055
51,"Суммарная мощность всех электродвигателей, кВт","40,54/ 33,54"
52,Габариты и масса станка,
53,"Габаритные размеры станка (длина, ширина, высота), мм",3470 х 2260 х 2300
54,"Масса станка , кг",5900
