index,Наименование параметра,1711ИФФ3
0,Основные параметры станка,
1,Класс точности станка по ГОСТ 8-82,Н
2,"Размеры поверхности стола, мм",300 х 230
3,"Расстояние от торца шпинделя до рабочей поверхности стола, мм",50..350
4,"Наибольшее перемещение в продольном направлении (ось X), мм",200
5,"Наибольшее перемещение в поперечном направлении (ось Y), мм",200
6,"Вертикальное перемещение бабки (ось Z), мм",300
7,"Наибольшие размеры обрабатываемой заготовки, мм",100 х 150 х 80
8,"Дискретность задания перемещений по всем координатам, мкм",1
9,Шпиндель. Бабка шпиндельная,
10,"Частота вращения шпинделя, об/мин",0..4500
11,Внутренний конус шпинделя,40АТ5
12,Система ЧПУ,Sinumeric 808D
13,Количество одновременно управляемых осей,3
14,Суммарная мощность станка кВт,75
15,Габаритные размеры и масса станка,
16,"Габаритные размеры (длина х ширина х высота), мм",1600 х 1420 х 2250
17,"Масса станка, кг",2000
