index,Наименование параметра,3А64
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,
2,"Наибольший диаметр устанавливаемого изделия, мм",250
3,"Наибольшая длина изделия устанавливаемого в центрах, мм",650
4,"Расстояние между осью шлифовального круга и линией центров в горизонтальной плоскости, мм",70..300
5,"Расстояние между осью шлифовального круга и линией центров в вертикальной плоскости, мм",55..150
6,"Высота центров, мм",125
7,Рабочий стол станка,
8,"Размеры рабочей поверхности стола по ГОСТ 6569-75 (длина х ширина), мм",134 х 920
9,"Наибольшее продольное/ поперечное ручное перемещение стола, мм",400/ 230
10,"Перемещение поперечное стола на одно деление лимба, мм",002
11,"Перемещение поперечное стола на один оборот лимба, мм",2
12,"Перемещение поперечное стола на одно деление тонкой подачи, мм",нет
13,"Угол поворота стола в горизонтальной плоскости, град",±45°
14,Бабка шлифовальная (колонна),
15,"Наибольшее вертикальное перемещение бабки, мм",205
16,"Цена деления лимба подачи вертикального перемещения, мм",002
17,"Угол поворота бабки в горизонтальной плоскости, град",270°
18,Шлифовальная головка,
19,"Число оборотов заточного круга при ступенчатом регулировании, об/мин","3730, 5600"
20,Конец шлифовального шпинделя,1:20 20 мм
21,"Наибольший диаметр устанавливаемого шлифовального круга, мм",175
22,"Наибольшая ширина шлифовального круга, мм",15
23,"Наибольшая высота чашечного шлифовального круга, мм",45
24,Электрооборудование и привод станка,
25,Количество электродвигателей на станке,1
26,"Электродвигатель привода шпинделя шлифовальных кругов, кВт (об/мин)","0,65 (2800)"
27,"Электродвигатель привода изделия, кВт",
28,"Электродвигатель насоса охлаждения, кВт",
29,"Электродвигатель пылесоса, кВт",
30,"Общая установленная мощность всех электродвигателей, кВт",
31,род тока питающей сети,"50Гц, 380/220 В"
32,Габариты и масса станка,
33,"Габарит станка, мм",1700 х 1460 х 1600
34,"Масса станка, кг",1000
