index,Наименование параметра,5А841
0,Основные параметры станка,
1,"Диаметр устанавливаемого изделия, мм",30..320
2,"Наименьший диаметр окружности впадин, мм",30
3,"Модуль устанавливаемого изделия, мм",18..8
4,"Число зубъев устанавливаемого изделия, мм",10..200
5,"Наибольшая ширина зубчатого прямозубого венца устанавливаемого изделия, мм",150
6,"Расстояние между центрами суппорта, мм",175..400
7,"Наибольший угол наклона зубъев, мм",±45
8,"Наибольшая масса устанавливаемого изделия, кг",200
9,Бабка шлифовальная (шпиндельная),
10,"Диаметр шлифовального круга (абразивного червяка), мм",260..350
11,"Ширина шлифовального круга (абразивного червяка), мм",16..32
12,"Диаметр посадочного отверстия шлифовального круга (абразивного червяка), мм",127
13,"Диаметр конца шлифовального шпинделя, мм",50
14,"Число оборотов шлифовального круга, 1/мин",1920
15,Стол изделия,
16,"Диаметр стола, мм",280
17,"Ход стола, мм",30..165
18,"Подача обката, мм/мин",6..800
19,Ползун,
20,"Длина хода, мм",20..160
21,Число двойных ходов ползуна в минуту (бесступенчатое регулирование),50..280
22,Ролик опорный,
23,"Наибольшая величина зоны перестановки, мм",405
24,"Перемещение опорного ролика на одно деление лимба перестановки, мм",0002
25,"Перемещение опорного ролика на один оборот лимба перестановки, мм",002
26,"Перемещение опорного ролика на один оборот лимба распределения припуска, мм",016
27,"Цена деления шкалы нониуса зоны перестановки, мм",0002
28,"Цена деления шкалы лимба распределения припуска, мм",0005
29,Механизм правки,
30,Количество алмазов,3
31,"Диапазон компенсации износа шлифовального круга при правке, мм",0..45
32,"Автоматическая прерывная радиальная подача механизма правки, мм",001..2
33,Привод и электрооборудование станка,
34,Количество электродвигателей на станке,8
35,"Электродвигатель главного привода - шлифовального шпинделя, кВт",11
36,"Электродвигатель насоса гидравлики, кВт",22
37,"Электродвигатель вентилятора масляного теплообменника, кВт",027
38,"Электродвигатель привода механизма подачи, кВт",018
39,"Электродвигатель насоса охлаждения, кВт",015
40,"Электродвигатель магнитного сепаратора, кВт",018
41,"Электродвигатель привода ползуна, кВт",19
42,"Электродвигатель редуктора поворота ползуна, кВт",11
43,"Суммарная мощность электродвигателей, кВт",708
44,Габаритные размеры и масса станка,
45,"Габаритные размеры станка (длина х ширина х высота), мм",2850 х 2315 х 2635
46,"Масса станка с электрооборудованием и охлаждением, кг",8000
