index,Наименование параметра,ПРОФИ 550
0,Основные параметры станка,
1,"Наибольший диаметр заготовки над станиной, мм",250
2,"Наибольший диаметр заготовки над суппортом, мм",
3,"Наибольшая длина заготовки в центрах (РМЦ), мм",550
4,"Рекомендуемая глубина точения за один проход, мм",
5,"Максимальная глубина точения за один проход, мм",
6,"Максимальный размер державки резца, мм",8 х 8
7,Шпиндель,
8,"Диаметр сквозного отверстия в шпинделе, мм",40
9,Конус шпинделя,№ 3
10,Число ступеней частот прямого вращения шпинделя,6
11,"Частота прямого вращения шпинделя, об/мин","125, 210, 420, 620, 1000, 2000"
12,"Диаметр токарного патрона, мм",
13,Суппорт. Подачи,
14,"Наибольшее продольное перемещение каретки суппорта, мм",
15,"Перемещение суппорта продольное на одно деление лимба, мм",
16,"Наибольшее поперечное перемещение суппорта, мм",
17,"Перемещение суппорта поперечное на одно деление лимба, мм",
18,"Угол поворота резцовых салазок, град",±45°
19,"Пределы продольных рабочих подач суппорта, мм/об",
20,"Пределы шагов нарезаемых резьб метрических, мм",04..30
21,"Пределы шагов нарезаемых резьб дюймовых, ниток на дюйм",10..44
22,Задняя бабка,
23,"Наибольшее перемещение пиноли, мм",
24,Конус задней бабки,№ 2
25,Электрооборудование,
26,"Номинальное напряжение питания, В",220 в 50 Гц
27,"Электродвигатель постоянного тока главного привода, кВт",055
28,Габариты и масса станка,
29,"Габариты станка (длина ширина высота), мм",1200 х 660 х 600
30,"Масса станка, кг",145
