index,Наименование параметра,КОРВЕТ-400
0,Основные параметры станка,
1,"Наибольший диаметр заготовки над станиной, мм",180
2,"Наибольший диаметр заготовки над суппортом, мм",
3,"Наибольшая длина заготовки в центрах (РМЦ), мм",300
4,"Рекомендуемая глубина точения за один проход, мм",01
5,"Максимальная глубина точения за один проход, мм",02
6,"Максимальный размер державки резца, мм",8 х 8
7,Шпиндель,
8,"Диаметр сквозного отверстия в шпинделе, мм",20
9,Конус Морзе шпинделя,Морзе 3
10,Число ступеней частот прямого вращения шпинделя,Б/с
11,"Частота прямого вращения шпинделя, об/мин","0..1100, 0..2500"
12,Число ступеней частот обратного вращения шпинделя,Б/с
13,"Частота обратного вращения шпинделя, об/мин","0..1100, 0..2500"
14,"Диаметр токарного патрона, мм",80
15,"Наибольшее радиальное биение шпинделя, мм",001
16,Торможение шпинделя,нет
17,Блокировка рукояток,нет
18,Суппорт. Подачи,
19,"Наибольшее продольное перемещение каретки суппорта, мм",
20,"Перемещение суппорта продольное на одно деление лимба, мм",0025
21,"Наибольшее поперечное перемещение суппорта, мм",65
22,"Перемещение суппорта поперечное на одно деление лимба, мм",0025
23,"Наибольшее перемещение верхних (резцовых) салазок (поворотного суппорта), мм",35
24,"Перемещение резцовых салазок на одно деление лимба, мм",025
25,"Угол поворота резцовых салазок, град",±45°
26,Число ступеней продольных подач суппорта,Б/с
27,"Пределы продольных рабочих подач суппорта, мм/об",Б/с
28,"Пределы рабочих поперечных подач суппорта, мм/об",нет
29,Количество нарезаемых резьб метрических,9
30,"Пределы шагов нарезаемых резьб метрических, мм",04..20
31,Пределы шагов нарезаемых резьб дюймовых,нет
32,Пределы шагов нарезаемых резьб модульных,нет
33,Пределы шагов нарезаемых резьб питчевых,нет
34,Задняя бабка,
35,Конус Морзе задней бабки,№2
36,"Наибольшее перемещение пиноли, мм",40
37,Электрооборудование,
38,"Номинальное напряжение питания, В",220 в 50 Гц
39,"Электродвигатель главного привода, кВт","0,4 коллекторный"
40,Габариты и масса станка,
41,"Габариты станка (длина ширина высота), мм",770 х 330 х 330
42,"Масса станка, кг",37
