index,Наименование параметра,5М161
0,Основные параметры станка,
1,"Наибольший модуль нарезаемого колеса, мм",1..12
2,Наибольший диаметр нарезаемых цилиндрических прямозубых колес,1250
3,"Наибольший диаметр нарезаемого зубчатого венца наружного зацепления, мм",1000
4,"Наибольшая ширина нарезаемого венца (длина нарезки), мм",160
5,"Диаметр делительного колеса суппорта, мм",
6,"Наибольшее расстояние от оси долбяка (шпинделя) до оси стола, мм",50..700
7,"Расстояние от зеркала стола (планшайбы) до торца шпинделя, мм",140..340
8,"Расстояние от пола до планшайбы, мм",870
9,Шпиндель долбяка,
10,"Наибольший ход долбяка (шпинделя), мм",200
11,"Наибольший диаметр устанавливаемого долбяка, мм",200
12,Пределы чисел двойных ходов долбяка в минуту,33..212
13,"Диаметр оправки под долбяк, мм",44443
14,Конец шпинделя для крепления инструмента,Морзе 5
15,Рабочий стол (план-шайба),
16,"Диаметр рабочего стола (планшайбы), мм",1000
17,"Диаметр отверстия в столе, мм",120
18,"Диаметр делительного колеса, мм",
19,"Пределы круговых подач стола на один двойной ход долбяка (при диаметре долбяка 100 мм), мм",02..15
20,"Пределы радиальных подач стола на один двойной ход долбяка, мм",05..50
21,"Скорость быстрого перемещения стола, мм/мин",205
22,Привод и электрооборудование станка,
23,Количество электродвигателей на станке,
24,"Электродвигатель главного привода - поступательное движение долбяка, кВт (об/мин)","5/ 6,3/ 10 (735/ 980/ 1450)"
25,"Электродвигатель быстрого вращения долбяка, кВт (об/мин)","0,75 (1390)"
26,"Электродвигатель вращения стола (план-шайбы), кВт (об/мин)","1,1 (920)"
27,"Электродвигатель радиальной подачи стола, кВт (об/мин)","2,2 (1425)"
28,"Электродвигатель отвода шпинделя в верхнее положение, кВт (об/мин)","1,1 (1425)"
29,"Электродвигатель насоса смазки, кВт (об/мин)",
30,"Электродвигатель насоса гидропривода, кВт (об/мин)","0,2 (1430)"
31,"Электродвигатель насоса охлаждения, кВт< (об/мин)/td>",012
32,"Суммарная мощность электродвигателей, кВт",
33,Габаритные размеры и масса станка,
34,"Габаритные размеры станка (длина х ширина х высота), мм",3260 х 1850 х 3300
35,"Масса станка с электрооборудованием и охлаждением, кг",10650
