index,Наименование параметра,MH 800 P
0,Рамер рабочей зоны станка,
1,"Размер рабочей зоны станка в продольном вертикальном и поперечном направлении (ход по осям X / Y / Z), мм",800/ 450/ 500
2,"Расстояние от торца шпинделя до стола, мм",
3,"Поверхность рабочего стола (Поверхность зажима с Т-образными пазами), мм",
4,"Нагрузка стола (суммарный вес), кг",
5,Рабочий шпиндель,
6,"Диапазон скорости вращения, об/мин (число ступеней)",20..2000 (18)
7,Инструментальный конус шпинделя,ИСО 49
8,"Ход пиноли горизонтального и вертикального рабочих шпинделей, мм",80
9,Подачи,
10,Скорость подачи по осям X и Z м/мин,20..1000
11,Скорость подачи по оси Y м/мин,10..500
12,"Ускоренный ход по осям X, Z, м/мин",2
13,"Ускоренный ход по оси Y, м/мин",1
14,"Редуцирование скоростей подач по направлению осей X, Y, Z, кН",10:1
15,"Усилие подачи, макс., кН",
16,Системы управления,
17,Системы управления,TNC 125 / TNC 135
18,"Разрешающая способность, мм",0005
19,Количество последовательно управляемых осей,3
20,Габариты и масса станка,
21,"Габаритные размеры станка с ЧПУ (длина, ширина, высота), мм",3020 х 2065 х 3000
22,"Масса станка с транспортером стружки, кг",4400
