index,Наименование параметра,7417
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Наибольший ход долбяка, мм",25..160
3,Пределы двойных ходов в минуту,"30, 48, 78, 120"
4,"Диаметр стола, мм",500
5,"Расстояние от плоскости стола до направляющих долбяка, мм",385
6,"Расстояние от долбяка до станины (вылет), мм",480
7,"Установочное регулирование хода долбяка, мм",
8,"Наибольшая высота долбления, мм",150
9,"Наибольшая длина долбления, мм",540
10,"Наибольшая ширина долбления, мм",500
11,"Наибольшее усилие резания, кг",
12,Долбяк,
13,"Наибольшее размеры державки резца (высота х ширина), мм",35 х 20
14,"Наибольший угол бокового поворота салазок долбяка, град",±90°
15,"Поворот салазок долбяка на одно деление шкалы, град",2°
16,"Наибольший угол наклона долбяка, град",4°30`
17,Стол,
18,"Наибольшие перемещения стола продольные, мм",500
19,"Наибольшие перемещения стола поперечные, мм",510
20,"Наибольшие перемещения стола круговые, град",360°
21,"Перемещения стола на одно деление лимба, мм",005
22,"Перемещения стола на один оборот лимба, мм",6
23,Ограничивающие упоры,есть
24,"Пределы подач за один двойной ход продольные, мм","0,081..1,21 (15 ступеней)"
25,"Пределы подач за один двойной ход поперечные, мм","0,081..1,21 (15 ступеней)"
26,"Пределы подач за один двойной ход круговые, град","0,054..0,81° (15 ступеней)"
27,"Скорость быстрого перемещения стола продольная, мм/мин",нет
28,"Скорость быстрого перемещения стола поперечная, мм/мин",нет
29,"Скорость быстрого перемещения стола круговая, град/сек",нет
30,Электрооборудование. Привод,
31,Количество электродвигателей на станке,1
32,"Электродвигатель привода главного движения, кВт (об/мин)","3,4 (965)"
33,"Электродвигатель ускоренного перемещения стола, кВт",нет
34,Габариты и масса станка,
35,"Габариты станка (длина ширина высота), мм",1850 х 1300 х 2040
36,"Масса станка, кг",2000
