index,Наименование параметра,7А420
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Наибольший ход долбяка, мм",20..200
3,Пределы двойных ходов в минуту,40..163
4,"Диаметр стола, мм",500
5,"Расстояние от плоскости стола до направляющих долбяка, мм",320
6,"Расстояние от долбяка до станины (вылет), мм",480
7,"Установочное регулирование хода долбяка, мм",264
8,"Наибольшее усилие резания, кгс",1500
9,"Наибольшие перемещения стола продольные, мм",500
10,"Наибольшие перемещения стола поперечные, мм",400
11,"Наибольшие перемещения стола круговые, град",360°
12,"Пределы подач за один двойной ход продольные, мм (число ступеней)",01..12
13,"Пределы подач за один двойной ход поперечные, (число ступеней) мм",01..12
14,"Пределы подач за один двойной ход круговые, (число ступеней) град",0064...081
15,"Скорость быстрого перемещения стола продольная, мм/мин",18
16,"Скорость быстрого перемещения стола поперечная, мм/мин",18
17,"Скорость быстрого перемещения стола круговая, град/сек",34
18,"Наибольший угол наклона долбяка, град",
19,"Наибольший угол поворота головки резцедержателя, град",
20,"Наибольшее сечение резца (высота х ширина), мм",
21,Электрооборудование. Привод,
22,Количество электродвигателей на станке,2
23,"Электродвигатель привода главного движения, кВт",28
24,"Электродвигатель ускоренного перемещения стола, кВт",11
25,Габариты и масса станка,
26,"Габариты станка (длина ширина высота), мм",2300 х 1270 х 2175
27,"Масса станка, кг",2240
