index,Наименование параметра,1622
0,Основные параметры,
1,"Наибольшая длина устанавливаемого изделия (РМЦ), мм",2750 / 5250
2,"Наибольшая длина нарезаемой резьбы, мм",2500 / 5000
3,"Наибольший диаметр нарезаемого винта (при РМЦ 2500 мм), мм",20..48
4,"Наибольший диаметр нарезаемого винта (при РМЦ 5000 мм), мм",85..120
5,"Высота центров, мм",225
6,"Пределы нарезаемых метрических резьб, мм",3..12
7,Шпиндель,
8,"Диаметр отверстия в шпинделе, мм",Ø 22
9,Количество скоростей шпинделя прямых / обратных,6/ 6
10,"Скорость прямого вращения шпинделя / обратного, об/мин",4..40 / 8..80
11,Конус,Морзе 5
12,Торможение шпинделя,Элекродин
13,Передний подшипник,"Ø 97,7 скольж"
14,Задний подшипник,"Ø 97,7 скольж"
15,Суппорт,
16,"Наибольшее продольное перемещение суппорта по винту механически, мм",2500 / 5000
17,"Наибольшее поперечное перемещение суппорта, мм",75
18,Число резцов в резцедержателе,1
19,"Сечение резца, мм",Ø 30
20,Выключающие упоры в продольном / поперечном направлении,есть / нет
21,Быстрое перемещение в продольном / поперечном направлении,есть / нет
22,Цена деления лимба в продольном / поперечном направлении,"нет / 0,025"
23,Перемещение суппорта на один оборот лимба в продольном / поперечном направлении,нет / 5
24,"Шаг винта верхнего суппорта, мм",4
25,Предохранение от перегрузок,нет
26,Задняя бабка,
27,Конус,Морзе 5
28,"Перемещение пинноли, мм",200
29,Электрооборудование,
30,Количество электродвигателей на станке,2
31,"Электродвигатель главного привода, кВт (об/мин)","2,3 / 3,9 (720/ 1430)"
32,"Электродвигатель насоса охлаждения, кВт",0125
33,Габариты и масса станка,
34,"Габариты станка (длина ширина высота) (РМЦ = 5000), мм",6920 х 1340 х 1470
35,"Масса станка (РМЦ = 2500/ 5000), кг",3300/ 5160
