index,Наименование параметра,3Г71
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,В
2,"Наибольшие размеры обрабатываемых изделий (длина х ширина х высота), мм",630 х 200 х 320
3,"Расстояние от оси шпинделя до зеркала стола, мм",80...445
4,"Наибольшая масса обрабатываемого изделия, кг",100
5,Рабочий стол станка,
6,"Размеры рабочей поверхности стола (длина х ширина), мм",630 х 200
7,"Продольное перемещение стола, мм",710
8,"Поперечное перемещение стола , мм",235
9,"Скорость продольного перемещения стола, м/мин",5...20
10,"Перемещение стола за один оборот маховика механизма продольного перемещения, мм",153
11,Механизм поперечной подачи стола,
12,"Цена деления лимба маховика поперечного перемещения стола, мм",005
13,"Перемещение суппорта за один оборот маховика, мм",6
14,"Цена деления лимба микрометрической подачи поперечного перемещения стола, мм",001
15,"Автоматическая поперечная подача на каждый ход стола, мм",02...40
16,"Автоматическая непрерывная подача, м/мин",
17,Шлифовальная головка,
18,"Наибольшее вертикальное перемещение шлифовальной головки, мм",365
19,"Скорость ускоренного вертикального перемещения шлифовальной головки, м/мин",027
20,"Размеры шлифовального круга, мм",250 х 32 х 76
21,"Частота вращения шлифовального, об/мин",2680
22,"Цена деления лимба маховика вертикального перемещения, мм",0001
23,"Автоматическая подача вертикального перемещения (ступенчатая с шагом 0,005), мм",0005...005
24,"Перемещение шлифовальной головки за один оборот маховика, мм",0125
25,Электрооборудование и привод станка,
26,Количество электродвигателей на станке,5
27,"Электродвигатель привода шпинделя, кВт",22
28,"Электродвигатель гидропривода, кВт",11
29,"Электродвигатель ускоренного перемещения шлифовальной головки, кВт",018
30,"Электродвигатель насоса охлаждения, кВт",0125
31,"Электродвигатель магнитного сепаратора, кВт",008
32,"Общая установленная мощность всех электродвигателей, кВт",3685
33,род тока питающей сети,"50Гц, 380/220 В"
34,Габариты и масса станка,
35,"Габарит станка (длина х ширина х высота), мм",1870 х 1550 x 1980
36,"Масса станка, кг",2000
