index,Наименование параметра,3Б12
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр обрабатываемого изделия, мм",200
3,"Наибольшая длина обрабатываемого изделия (РМЦ), мм",500
4,"Наибольший диаметр шлифования, мм",200
5,"Наименьший диаметр шлифования, мм",8
6,"Рекомендуемый диаметр шлифования, мм",20..60
7,"Наибольшая длина шлифования, мм",450
8,"Диаметр шлифуемого отверстия, мм",25..50
9,"Расстояние от оси шпинделя передней бабки до зеркала стола - высота центров, мм",120
10,Станина и столы станка,
11,"Наибольшее продольное перемещение стола, мм",550
12,"Наименьший ход стола между упорами, мм",4
13,"Ручное замедленное/ ускоренное перемещения стола за один оборот маховика, мм","1,59/ 31,9"
14,"Скорость перемещения стола от гидросистемы, м/мин",01..5
15,"Наибольший угол поворота верхнего стола по часовой стрелке, град",6
16,"Наибольший угол поворота верхнего стола против часовой стрелки, град",7
17,"Цена деления шкалы поворота верхнего стола, град",
18,"Цена деления шкалы поворота верхнего стола (конусность), мм/м",
19,Шлифовальная бабка,
20,"Наибольшее перемещение шлифовальной бабки от маховика, мм",110
21,"Перемещение шлифовальной бабки относительно верхних салазок, мм",180
22,"Перемещение шлифовальной бабки во время быстрого подвода, мм",40
23,"Поворот шлифовальной бабки, град",90
24,Шлифовальный круг по ГОСТ 2424-67,
25,"Диаметр шлифовального круга - наибольший/ наименьший, м/с",300/ 200
26,"Диаметр шлифовального круга - посадочный, м/с",127
27,"Наибольшая высота устанавливаемого круга, мм",40
28,"Частота вращения шпинделя наружного шлифования, об/мин",2250
29,"Толчковая подача - периодическая подача с реверсированием стола, мм",12
30,"Цена деления лимба поперечной подачи, мм",
31,"Цена деления лимба тонкой поперечной подачи, мм",
32,"Величина поперечного перемещения шлифовальной бабки за один оборот маховика, мм",05
33,"Скорость быстрого установочного перемещения шлифовальной бабки, мм/мин",12
34,"Конец шлифовального шпинделя по ГОСТ 2323-67 (конусность 1:5, номинальный диаметр), мм",50
35,Приспособление для внутреннего шлифования,
36,"Наибольший диаметр заготовки, устанавливаемой в патроне, мм",
37,"Наибольшая длина шлифуемого отверстия, мм",
38,"Диаметр внутришлифовальной головки, мм",17 х 20 х 630 х 25 х 1040 х 32 х 16
39,Число оборотов внутришлифовального шпинделя,16750
40,Передняя бабка,
41,"Частота вращения изделия (бесступенчатое регулирование), об/мин",78..780
42,"Угол поворота в сторону шлифовального круга, град",90
43,"Угол поворота в сторону от шлифовального круга, град",30
44,Конус шпинделя передней бабки по ГОСТ 2847-67,Морзе 3
45,Задняя бабка,
46,"Величина отвода пиноли задней бабки от руки, мм",25
47,Конус шпинделя пиноли задней бабки по ГОСТ 2847-67,Морзе 3
48,Привод и электрооборудование станка,
49,Количество электродвигателей на станке,7
50,"Электродвигатель шпинделя шлифовальной бабки 2М, кВт",30
51,"Электродвигатель внутришлифовального шпинделя 7М, кВт",11
52,"Электродвигатель привода изделия 1М, кВт",10
53,"Электродвигатель насоса гидросистемы 3М, кВт",10
54,"Электродвигатель насоса системы смазки шпинделя 4М, кВт",027
55,"Электродвигатель насоса системы охлаждения 5М, кВт",
56,"Электродвигатель магнитного сепаратора 6М, кВт",015
57,Габаритные размеры и масса станка,
58,"Габаритные размеры станка (длина х ширина х высота), мм",2600 х 1750 х 1750
59,"Масса станка с электрооборудованием и охлаждением, кг",3000
