index,Наименование параметра,7А412
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Наибольший ход долбяка, мм",10..100
3,Пределы двойных ходов в минуту,5267101210
4,"Диаметр стола, мм",360
5,"Расстояние от плоскости стола до направляющих долбяка, мм",200
6,"Расстояние от долбяка до станины (вылет), мм",320
7,"Установочное регулирование хода долбяка, мм",
8,"Наибольшее усилие резания, кгс",600
9,"Наибольшие перемещения стола продольные, мм",350
10,"Наибольшие перемещения стола поперечные, мм",280
11,"Наибольшие перемещения стола круговые, град",360°
12,"Пределы подач за один двойной ход продольные, мм (число ступеней)","0,1..1,0 (10)"
13,"Пределы подач за один двойной ход поперечные, (число ступеней) мм","0,1..1,0 (10)"
14,"Пределы подач за один двойной ход круговые, (число ступеней) град","0,067..0,67 (10)"
15,"Скорость быстрого перемещения стола продольная, мм/мин",
16,"Скорость быстрого перемещения стола поперечная, мм/мин",
17,"Скорость быстрого перемещения стола круговая, град/сек",
18,"Наибольший угол наклона долбяка, град",5° от станины
19,"Наибольший угол поворота головки резцедержателя, град",±90°
20,"Наибольшее сечение резца (высота х ширина), мм",20 х 12
21,Электрооборудование. Привод,
22,Количество электродвигателей на станке,1
23,"Электродвигатель привода главного движения, кВт","0,8; 1,0; 1,4; 1,5"
24,"Электродвигатель ускоренного перемещения стола, кВт",-
25,Габариты и масса станка,
26,"Габариты станка (длина ширина высота), мм",1950 х 980 х 1825
27,"Масса станка, кг",1200
