index,Наименование параметра,6А59
0,Основные параметры станка,
1,"Размеры поверхности стола, мм",1000 х 2500
2,"Наибольш размеры обрабатываемой детали (длина х ширина х высота), мм",2500 х 1000 х 900
3,"Расстояние от торца шпинделя до поверхности стола, мм",100..1000
4,"Расстояние от оси шпинделя до вертикальных направляющих (вылет), мм",1000
5,"Наибольшее перемещение стола в продольном (X) и поперечном (Y) направлении, мм",2000 / 950
6,"Наибольшее перемещение шпиндельной бабки в вертикальном (Z) направлении, мм",900
7,"Наибольшая масса обрабатываемой детали, кг",6000
8,Шпиндель,
9,"Перемещение гильзы шпинделя, мм",150
10,Конец шпинделя по ГОСТ 24644-81,50
11,"Частота вращения шпинделя с бесступенчатым регулированием, об/мин (число ступеней)",25..1250 (18)
12,Количество скоростей шпинделя,18
13,"Наибольший крутящий момент на шпинделе, н*м",3920
14,Рабочий стол,
15,"Дискретность задания перемещений по осям X, Y, Z. Продольное, поперечное, вертикальное, мм",
16,"Пределы продольных и поперечных подач стола (X, Y), мм/мин",6..1000
17,"Пределы вертикальных подач бабки (Z), мм/мин",
18,Количество подач продольных/ поперечных/ вертикальных,
19,"Скорость быстрых перемещений стола продольных (X), поперечных (Y), м/мин",3
20,"Скорость быстрых перемещений вертикальных (Z), м/мин",
21,"Наибольшее усилие резания, допускаемое механизмом подачи по оси X (продольных), кН",32
22,"Наибольшее усилие резания, допускаемое механизмом подачи по осяи Y, (поперечных), кН",32
23,"Наибольшее усилие резания, допускаемое механизмом подачи по оси Z (вертикальных), кН",
24,Механика станка,
25,"Наибольший допускаемый диаметр фрез при черновой обработке, мм",400
26,"Выключающие упоры подачи (продольной, поперечной, вертикальной)",
27,Электрооборудование и привод станка,
28,Количество электродвигателей на станке,
29,"Электродвигатель привода главного движения, кВт (об/мин)",22 (1420)
30,"Электродвигатель привода подач, кВт (об/мин)","3,3 (1000/ 3000)"
31,"Электродвигатель постоянного тока привода главного движения, кВт",-
32,"Вращающий момент электродвигателей постоянного тока приводов подач по осям X, Y, Z (номинальный/ наибольший) (М12, М13, М14), Н*м",
33,"Электродвигатель гидростанции, кВт","1,5 (950)"
34,"Электродвигатель вентилятора шпинделя, кВт",
35,"Электродвигатель зажима инструмента, кВт",
36,"Электродвигатель насоса смазки, кВт","0,27 (1480)"
37,"Электродвигатель насоса охлаждения, кВт",
38,"Электродвигатель транспортера (М7), кВт",
39,"Электродвигатель вентилятора шкафа (М20, М21), кВт",
40,"Суммарная мощность установленных на станке электродвигателей, кВт",
41,"Суммарная мощность одновременно работающих электродвигателей, кВт",
42,Габаритные размеры и масса станка,
43,"Габаритные размеры (длина х ширина х высота), мм",6500 х 4550 х 4700
44,"Масса станка, кг",23600
